HOLBORN-STONE-YARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ303814,Long,-0.12351718,Lat,51.516503,Elevation,89,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,1.22,3.55,0.73,1.54,0.72,1.54,1.25,4.02,2.36,0.65,4.08,0.94,1.35,2.72,1.92,2,1.96,2.57,0.9,2.19,1.37,2.23,1.58,3.63,0.83,2.37
February,,,,,,0.66,1.74,1.07,1.73,0.48,2.84,1.26,1.53,0.71,2.02,3.08,2.98,0.82,0.93,2.15,0.58,0.23,2.12,2.3,0.48,2.16,2.93,3.28,1.46,0.43,0.81
March,,,,,,2.91,0.9,0.92,2.03,2.87,0.68,1.78,2.72,1.94,4.06,0.74,3.98,1.44,0.69,3.32,1.11,1.03,1.52,1.67,0.41,0.55,0.28,2.38,1.09,0.03,1.45
April,,,,,,1.56,0.69,3.08,2.44,2.01,2.07,1.74,0.03,2.62,0.82,1.1,1.22,1.5,3.51,2.64,2.97,1.11,2.56,0.94,2.39,1.73,3.13,1.88,1.14,1.1,1.15
May,,,,,,1.07,1.21,1.95,1.76,1.42,2.13,1.9,1.31,1.52,0.97,5.91,1.8,2.08,1.96,0.72,0.51,0.93,0.6,1.67,2.22,1.42,1.59,1.39,2.15,1.2,3.14
June,,,,,,4.28,2.8,2.03,1.36,4.45,2.35,2.49,2.95,0.66,1,0.59,1.82,3.1,0.89,1.21,1.32,0.26,0.76,0.3,1.87,0.15,3.04,2.21,2.22,0.8,2.86
July,,,,,,1.12,0.65,1.53,3.37,3.97,2.59,1.13,1.32,2.03,1.23,4.56,1.44,3.87,5.98,2.03,3.87,0.12,3.31,2.56,5.08,3.21,1.57,2.72,1.57,1.69,1.61
August,,,,,,2.8,0.85,2.15,2.44,1.59,1.83,1.03,4.84,0.88,1.26,2.87,5.72,3.5,1.54,2.11,1.67,0.88,1.72,1.31,1.81,2.34,1.92,3.68,2.65,2.06,2.67
September,,,,,,1.75,1.6,0.72,1.29,2.51,0.57,1.58,2.14,2.06,0.89,2.12,1.4,2.12,5.16,0.8,2.71,1.96,1.27,0.84,2.11,1.85,1.14,4.28,0.38,0.2,3.45
October,,,,,,0.97,3,2.25,1.78,4.31,2.03,3.11,1.93,3.26,1.13,2.15,2.73,2.97,0.87,0.5,1.47,0.85,0.9,4.07,2.98,2.75,2.17,1.28,3.19,2.77,1.12
November,,,,,,3.02,3.91,1.93,0.59,0.66,3.19,3.5,1.29,2.32,3.89,2.31,3.74,1.31,1.84,1.19,0.97,1.87,1.12,1.16,1.75,1.48,4.66,2.36,2.07,4.83,3.75
December,,,,,1.53,0.52,1.78,3.24,1.82,2.49,3.31,4.49,2.99,0.45,6.66,5.65,2.12,0.92,1.66,3.28,1.89,0.98,2.41,1.65,2.17,2.6,0.23,2.93,2.21,3.71,1.56
Total,,,,,,21.88,22.68,21.6,22.15,27.48,25.13,25.26,27.07,20.81,24.58,35.16,29.89,24.98,27.75,21.87,21.07,12.18,20.86,19.37,25.46,21.61,24.89,29.97,23.76,19.65,25.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to Church and British Museum Underground station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The observer, E F Spurrell , was Borough Engineer/Surveyor and the location was municipal offices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitudes match based on gauge being mounted on 12 ft high roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
