HOLBORN STONE YARD,,,,,,,,,,,,
Grid ref,TQ309815,Long,-0.114838,Lat,51.517263,,,,,,,
Station no,RR7563,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.22,3.55,0.73,1.54,0.72,,
February,,,,,,0.66,1.74,1.07,1.73,0.48,,
March,,,,,,2.91,0.90,0.92,2.03,2.87,,
April,,,,,,1.56,0.69,3.08,2.44,2.01,,
May,,,,,,1.07,1.21,1.95,1.76,1.42,,
June,,,,,,4.28,2.80,2.03,1.36,4.45,,
July,,,,,,1.12,0.65,1.53,3.37,3.97,,
August,,,,,,2.80,0.85,2.15,2.44,1.59,,
September,,,,,,1.75,1.60,0.72,1.29,2.51,,
October,,,,,,0.97,3.00,2.25,1.78,4.31,,
November,,,,,,3.02,3.91,1.93,0.59,0.66,,
December,,,,,1.53,0.52,1.78,3.24,1.82,2.49,,
Total,,,,,,21.88,22.68,21.60,22.15,27.48,,
Calc annual,0.00,0.00,0.00,0.00,1.53,21.88,22.68,21.60,22.15,27.48,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,-0.00,,
