DARTMOUTH-STOKE-FLEMING,,,,,,,,,,,,,,,,,,,,
Grid ref,SX863486,Long,-3.59865,Lat,50.32638,Elevation,356,ft,,,,,,,,,,,,
Station no,RR7906,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.87,2.33,5.36,1.68,4.67,8.28,1.9,5.36,2.44,1.86,,
February,,,,,,,,,2.38,0.55,6.28,3.13,4.32,1.61,4.88,6.73,7.17,1.3,,
March,,,,,,,,1.18,3.79,6.45,1.22,3.36,5.85,5.23,7.38,1.68,4.69,3.4,,
April,,,,,,,,5.33,3.01,2.05,2.09,1.93,0.23,4.48,1.65,1.52,0.99,1.51,,
May,,,,,,,,4.2,2.16,1.1,3.23,0.9,1.92,2.56,1.93,4,2.14,2.17,,
June,,,,,,,,2.53,0.96,4.04,1.2,1.94,4.95,0.8,1.04,1.89,2.83,2.23,,
July,,,,,,,,1.59,2.19,2.83,3.48,0.53,2.57,0.82,3.62,4.74,1.08,2.57,,
August,,,,,,,,2.01,2.99,2.38,3.97,0.7,7.53,1.02,3.48,1.69,5.09,5.86,,
September,,,,,,,,1.93,3.46,2.25,0.22,1.79,1.34,2.03,4.3,1.61,3.15,2.25,,
October,,,,,,,,10.42,2.15,9.25,7.46,5.94,6.08,3.16,3.78,4.91,7.8,5.48,,
November,,,,,,,,4.08,1.14,1.85,6.35,5.41,2.61,4.36,5.51,3.01,5.26,1.65,,
December,,,,,,,,4.92,6.34,7.37,8.2,10.1,7.15,2.89,10.19,9.51,6.56,1.55,,
Total,,,,,,,,,32.44,42.45,49.06,37.41,49.22,37.24,49.66,46.65,49.2,31.83,,
,,,,,,,,,,,,,,,,,,,,
Ravensbourne Lane,,,,,,,,,,,,,,,,,,,,
1912 Aug 20 Inspection Gauge in open windy spot overlooking sea Observer not inclined to move it,,,,,,,,,,,,,,,,,,,,
