NORTH THORESBY RECTORY,,,,,,,,,,
Grid ref,TF289988,Long,-0.060,Lat,53.470,Elevation,46,ft,,
Station no,RR4258,,,,,,,,,
,,,,,,,,,,
,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901
January,0.94,1.77,1.69,4.10,0.93,2.15,0.95,2.32,3.09,0.83
February,1.94,2.99,2.38,0.48,0.64,2.80,1.63,1.19,3.24,2.03
March,1.47,0.48,0.78,2.07,2.24,2.50,1.65,1.47,0.38,1.89
April,1.66,0.40,1.75,1.01,0.90,1.35,3.00,1.94,1.11,1.30
May,2.33,0.89,1.71,0.99,0.64,1.27,2.47,2.65,1.73,0.78
June,4.81,1.23,3.82,1.60,1.16,1.17,1.66,1.62,2.05,2.07
July,2.43,2.33,4.14,3.15,1.69,0.14,0.54,0.98,2.02,2.01
August,1.52,1.41,2.29,2.84,2.13,3.89,3.00,0.33,3.71,1.93
September,2.77,1.15,0.91,0.52,4.22,2.66,0.22,2.71,0.93,0.97
October,5.40,1.45,4.76,2.71,5.59,0.85,3.32,2.76,2.57,2.15
November,1.10,2.48,2.37,2.42,1.40,2.03,2.53,1.15,1.99,2.67
December,1.30,1.88,1.97,1.98,3.78,1.75,2.33,2.33,3.56,4.94
Total,27.67,18.46,28.57,23.87,25.32,22.56,23.30,21.45,26.38,23.57
,,,,,,,,,,
TYRain_1890-1899_13_pt1/196,,,,,,,,,,
TYRain_1900-1909_17_pt1/147,,,,,,,,,,
,,,,,,,,,,
"# The gauge was located about a quarter of a mile south east of the rectory for 1892, the initial year of readings (grid reference TF292985).",,,,,,,,,,
