"NORTH THORESBY RECTORY",,,,,,,,,,,,
Grid ref,TF288987,Long,-0.061087,Lat,53.469290,,,,,,,
Station no,RR4258,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.09,0.83,,,,,,,,,,
February,3.24,2.03,,,,,,,,,,
March,0.38,1.89,,,,,,,,,,
April,1.11,1.30,,,,,,,,,,
May,1.73,0.78,,,,,,,,,,
June,2.05,2.07,,,,,,,,,,
July,2.02,2.01,,,,,,,,,,
August,3.71,1.93,,,,,,,,,,
September,0.93,0.97,,,,,,,,,,
October,2.57,2.15,,,,,,,,,,
November,1.99,2.67,,,,,,,,,,
December,3.56,4.94,,,,,,,,,,
Total,26.38,23.57,,,,,,,,,,
Calc annual,26.38,23.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
