BONNINGTON WEIR,,,,,,,,,,,,
Grid ref,NS887407,Long,-3.770103,Lat,55.647052,,,,,,,
Station no,5167/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,3.53,1.80,1.83,3.64,2.49,1.24,2.76,,
February,,,,2.31,1.45,1.26,2.06,2.39,1.08,2.67,,
March,,,,1.91,1.39,2.09,2.62,1.26,1.72,1.56,,
April,,,,1.05,0.75,0.87,1.62,0.77,2.24,2.63,,
May,,,,4.09,2.20,1.31,1.86,2.18,1.44,1.60,,
June,,,,2.07,1.19,2.46,1.48,2.90,3.58,1.30,,
July,,,,2.80,1.73,3.69,3.26,6.35,3.60,2.56,,
August,,,,3.58,1.81,7.24,3.87,3.39,0.54,2.81,,
September,,,,4.33,2.94,4.21,2.36,3.59,0.92,2.00,,
October,,,2.22,7.07,2.77,3.11,3.33,2.20,4.24,2.25,,
November,,,4.92,5.64,1.15,1.02,1.43,1.38,5.07,4.29,,
December,,,4.13,4.42,5.48,3.48,3.44,4.20,3.33,4.81,,
Total,,,,42.80,24.66,32.57,30.97,33.10,29.00,31.24,,
Calc annual,0.00,0.00,11.27,42.80,24.66,32.57,30.97,33.10,29.00,31.24,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
