HURSLEY-PARK-(8-INCH-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU423252,Long,-1.39747,Lat,51.02518,Elevation,210,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,,2.32,2.84,2.49,2.88,0.78,5.86,7.38,3.6,5.15,2.9,3.57,3.68,6.15,2.72,,,,,,
February,,,,,,,,,,,,2.27,0.13,4.13,0.09,4.39,3.38,6.53,0.81,2.05,4.07,3.05,0.51,1.5,0.74,,,,,,
March,,,,,,,,,,,1.48,0.63,1.93,4.05,3.63,1.03,2.24,4.22,0.27,1.17,3,4.1,2.53,0.66,0.34,,,,,,
April,,,,,,,,,,,2.95,3.47,3.4,1.35,2.13,4.04,2.4,2.39,0,1.96,1.15,2.26,2.24,0.99,1.65,,,,,,
May,,,,,,,,,,,2.35,3.13,5.87,2.28,1.15,1.58,0.55,3.58,2.08,1.28,0.39,2.6,3.72,3.65,0.34,,,,,,
June,,,,,,,,,,,0.63,2.83,2.14,2.39,1.47,4.92,3.31,2.39,0.62,2.52,0.32,1.43,0.4,1.23,2.63,,,,,,
July,,,,,,,,,,,2.58,3.54,3.62,3.02,1.16,2.61,3.81,1.2,2.53,5.46,3.66,2.27,1.95,2.44,2.92,,,,,,
August,,,,,,,,,,,3.43,5.15,1.98,1.15,3.54,2.67,0.61,1.85,3.47,1.96,0,4.18,4.26,1.99,2.48,,,,,,
September,,,,,,,,,,,3.19,1.89,4.11,3.53,2.07,4.54,3.96,2.06,1.31,1.36,2.35,0.65,2.39,2.32,2.35,,,,,,
October,,,,,,,,,,,2.11,0.7,5.45,2.04,1.87,5.69,1.75,3.56,3.5,5.8,4.38,1.34,4.15,4.34,5.17,,,,,,
November,,,,,,,,,,,5.36,3.93,2.16,0.84,2.5,8.48,3.32,2.18,5.02,6.16,8.36,3.31,1.74,1.91,5.63,,,,,,
December,,,,,,,,,,,3.58,0.85,1.41,0.8,11.05,4.33,4.19,3.85,4.62,2.05,2.19,2.11,4.47,2.1,2.97,,,,,,
Total,,,,,,,,,,,,30.71,35.04,28.07,33.54,45.06,35.38,41.19,27.83,36.92,32.77,30.87,32.04,29.28,29.94,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 New gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Jan Feb adjusted by nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
