HASLINGDEN (OGDEN) NO.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD762228,Long,-2.361974,Lat,53.701086,Elevation,740,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2919/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.66,4.19,6.74,6.77,4.49,2.61,7.81,7.97,7.58,4.67,5.95,4.8,10.89,3.44,4.6,5.7,5.92,2.29,5.82,3.07,6.01,4.71,5.7,3.62,7.11
February,,,,,8.08,3.4,7.63,2.25,5.81,2.97,8.28,2.37,4.18,3.07,6.62,7.58,1.64,3.44,3.72,6.27,4.71,1.83,2.72,4.52,2.53,1.35,3.96,7.97,0.89,4.84
March,,,,,1.49,3.52,2.2,2.41,3.55,3.48,4.26,4.04,1.78,1.15,1.76,1.3,8.68,2.55,2.35,3.4,6.1,2.65,2.87,3.65,2.32,1.88,4.55,2.36,2.38,1.31
April,,,,,4.4,1.28,4.23,1,2.98,3.88,2.22,2.94,3.43,3.43,2.88,1.28,5.03,2.66,4.95,4.01,3.17,4.23,4.2,1,3.62,2.79,0.69,1.72,4,3.1
May,,,,,1.65,0.74,2.07,4.75,1.89,0.94,3.2,4.22,4.08,3.33,4.51,1.92,3.02,2.92,3.67,2.97,2.13,3.44,2.95,3.53,5.28,2.13,2.37,5.1,1.36,2.92
June,,,,,4.24,4.62,2.33,5.57,4.46,1.22,0.56,1.35,4.07,3.49,7.07,4.12,3.52,8.02,1.29,2.69,1.81,4.41,3.63,3.9,3.76,3.09,2.31,4.37,3.95,1.57
July,,,,,2.31,4.9,2.39,5.97,9.9,5.49,4.36,6.45,3.84,4.04,3.5,5.13,4.32,3.34,2.63,5.23,4.42,3.09,6.29,6.84,1.23,6.99,8.25,4.32,4.87,8.7
August,,,,,1.77,3.64,3.44,3.06,4.01,3.45,7.32,6.44,7.94,4.39,3.47,8.57,0.28,5.46,3.27,8.5,6.02,5.99,5.73,7.34,1.72,13.11,8.09,4.78,0.71,6.02
September,,,,,8.52,5.7,2.2,2.69,1.34,5.49,1.73,3.79,5.57,6.9,4.04,8.53,4.33,3.75,2.31,9.74,4.06,5.18,5.61,6.72,5.25,4.52,8.72,5.59,0.47,3.2
October,,,,,11.54,5.69,2.55,12.47,2.75,6.1,5.73,8.63,4.08,6.91,6.97,1.29,1.18,3.32,5.92,3.91,1.22,6.3,2.51,10.18,3.31,4.01,7.53,5.55,5.73,4.72
November,,,,,5.49,6.42,1.89,9.07,8.87,9.75,4.13,1.67,5.14,8.71,0.75,8.88,6.92,3.06,8.18,8.44,10.05,3.21,6.55,8.69,3.1,2.54,2.83,2.33,5.66,8.7
December,,,,,5.21,6.81,3.63,6.39,4.01,6.54,3.72,5.35,3.81,6.02,4.27,5.62,3.93,5.79,8.09,3.96,11.23,5,2.58,8.06,7.51,5.71,6.41,5.08,9.85,6.11
Total,,,,,,53.38,38.75,62.37,56.34,53.8,48.12,55.06,55.89,59.02,50.51,60.17,47.65,55.2,49.82,63.72,60.62,51.25,47.93,70.25,42.7,54.13,60.42,54.87,43.49,58.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Jan 3.2 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR on 1950s nowhere near the reservoir and wrong elevation too. NGR for gauge No 1 therefore used here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
