CAWDOR (AUCHINDOUNE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH838479,Long,-3.940991,Lat,57.506338,Elevation,425,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5685/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.37,3.91,3.53,,,,,,3.36,2.75,1.13,1.34,2.54,3.02,2.18,2.44,2.37,1.28,2.07,1.44,1.38,2.64,3.04,2.99,2.96
February,,,,,,1.86,3.13,1.48,,,,,,2.21,2.07,2.04,0.71,2.38,2.12,2.4,2.27,1.25,1.94,1.28,2.26,1.99,2.15,2.71,0.62,2
March,,,,,,1.18,2.32,1.7,,,,,,1.27,1.02,0.86,1.55,1.49,2.22,1.61,1.73,1.95,0.98,2.11,1.47,0.69,3.46,1.04,1.25,0.52
April,,,,,,1.14,0.55,0.76,,,,,,1.7,1.24,1.45,2.7,3.02,2.1,3.47,4.64,0.73,3.15,1.19,1.14,1.88,0.61,1.89,3.42,1.72
May,,,,,,1.22,1.3,2.44,,,,,,2.35,3.21,1.68,1.55,3.27,2.27,2.13,0.59,1.71,3.45,4.14,2.73,1.43,0.88,3,0.64,0.28
June,,,,,,1.39,2.21,4.24,,,,,,3.84,2.52,2.59,4.09,5.25,1.58,1.57,3.91,2.33,3.58,2.63,0.76,2.27,2.02,2.02,2.67,3.33
July,,,,,,7.54,3.54,5.63,,,,,,0.98,3.27,6.72,2,3.18,1.9,1.98,3.22,2.04,3.71,3.42,0.63,9.23,6.05,4.1,2.83,2.56
August,,,,,,2.6,3.57,2.28,,,,,,1.93,3.91,5.11,0.71,7.73,5.58,1.88,5.87,4.83,3,2.81,0.52,5.71,6.61,3.76,1.72,10.75
September,,,,,,3.65,1.46,3.97,,,,,,4.07,2.43,4.7,4.03,3.02,2.88,5.33,0.58,2.63,2.53,2.79,2.02,3.47,1.79,2.28,0.72,2.59
October,,,,,,2.95,2.37,4.68,,,,,,3.35,4.14,0.34,1.08,2.65,1.49,1.44,1.41,2.27,1,6.39,4.11,3.19,1.73,2.49,3.26,2.93
November,,,,,,1.81,0.66,3.74,,,,,2.64,3.48,0.25,3.13,5.52,1.8,2.68,3.76,4.46,2.74,2.49,1.76,0.63,1.94,2.54,0.83,3.22,1.25
December,,,,,,3.32,1.67,1.49,,,,,0.71,3.28,2.16,1.23,1.9,2.3,5.99,2.02,3.87,2.17,2.62,4.69,6.14,3.46,2.78,2.11,2.07,1.76
Total,,,,,,32.03,26.69,35.94,,,,,,31.82,28.97,30.98,27.18,38.63,33.83,29.77,34.99,27.02,29.73,35.28,23.85,36.64,33.26,29.27,25.41,32.65
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 JSO+T deleted -100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
