ASHFORD-PLUCKLEY (MONKERY WESTWELL),,,,,,,,,,
Grid ref,TQ979511,Long,0.83280761,Lat,51.224777,Elevation,540,ft,,
Station no,RR8297,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.94,3.35,0.57,
February,,,,,,,0.48,2.13,1.07,
March,,,,,,,2.42,3.66,1.12,
April,,,,,,,0.77,1.77,1.09,
May,,,,,,,0.25,1.43,4.05,
June,,,,,,,3.64,2.11,1.92,
July,,,,,,,1.57,0.51,0.35,
August,,,,,,,3.9,2.76,1.46,
September,,,,,,,5.86,2.51,0.77,
October,,,,,,,6.1,0.44,2.41,
November,,,,,,,1.56,1.17,3.26,
December,,,,,,,3.77,2.76,1.81,
Total,,,,,,,31.26,24.6,19.88,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
1895 Gauge moved,,,,,,,,,,
