BELLEEK (HERONSHAW),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IG9410058900,Long,-8.091784,Lat,54.478657,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,
January,,,,,,,,,,,3.16,0.32,3.36,6.27,7.3,3.38,6.73,3.58,3.48,4.32,5.92,2.35,3.84,3.39,6.69,3.23,2.61,1.9,3.04,4.74,5.89,4.05,4.16,6.15,4.88,3.83,6.35,2.89,3.96,4.8,4.27,1.52,2.35,5.34,3.7,4.98,3.64,2.64,3.08,5,4.9,5.7,4.7,4.53,4.38,3.99,5,7.94,8.25,1.41,4.53,5.48,5.84,4.62,5.21,3.19,5.06,6.36,6.07,3.28,2.55,1.93,6.29,4.88,5.51,3.75,5.07,4.62,5.47,5.68,3.99,4.95,7.35,2.34,3.44,3.36,3.89,6.49,5.39,3.08,3.18,,,,,,,,
February,,,,,,,,,,,3.96,4.17,3.9,4.91,4.54,4.15,3.49,4.16,2.06,3.25,0.96,0.49,2.55,4.29,6.45,0.96,2.94,3.9,6,3.03,2.23,2.82,1.85,4.43,4.72,3.7,4.34,2.88,3.45,2.61,6.82,3.84,3.01,1.94,7.34,4.6,5.51,2.03,4.6,0.74,3.33,1.3,5.5,4.22,1.75,7.27,3.39,2.7,4.48,2.68,0.41,4.58,0.19,3.75,0.65,4.37,2.77,4.78,2.05,4.18,3.47,3.29,1.99,4.51,2.23,4.13,4.89,1.06,2.84,4.46,4.93,4.72,2.68,1.56,4.93,4.56,3.18,3.06,4.76,1.33,4.08,,,,,,,,
March,,,,,,,,,,,2.65,4.47,5.62,2.85,3.68,2.56,3.36,2.03,4.82,2.93,3.37,3.27,0.9,1.51,3.37,4.56,6.12,6.44,1.78,3.51,0.96,4.21,3.78,6.77,3.13,4.82,3.38,4.34,4.8,2.86,2.37,1.89,5.64,4.48,6,1.82,1.97,3,1.29,3.52,3.67,4.31,2.32,1.94,1.07,2.08,2.53,4.23,2.99,0.4,2.9,1.13,3,3.39,3.79,2.19,2.94,1.48,2.59,4.72,5.9,4.07,2.53,2.41,1.14,2.1,2,4.8,3.09,3.19,2.36,3.91,2.06,0.94,4.93,0.95,2.23,3.81,2.5,2.81,2.02,,,,,,,,
April,,,,,,,,,,2.14,4.67,2.57,3.22,1.91,1.95,2.49,2.49,2.68,2.97,4.85,2.63,1.9,1.45,1.47,4.17,1.88,3.75,3.96,4.17,5.7,3.9,3.62,2.43,2.55,4.42,2.21,3.31,3.05,2.58,4.29,2.68,2.76,2.05,5.36,2.25,3.73,5.43,2.52,1.29,2.86,3.27,1.64,3.41,2.54,5.09,3.7,2.88,2.88,1.92,1.39,2.09,2.71,3.85,2.18,2.65,4.71,1.11,2.28,0.36,2.7,4.97,1.85,2,3.18,2.14,2.52,1.51,4.27,2.32,4.32,5.6,2.84,1.59,2.79,1.23,3.64,1.72,2.37,2.29,3.84,2.51,,,,,,,,
May,,,,,,,,,,3.72,2.05,1.65,2.58,1.9,3.44,3.85,4.01,1.26,2.75,4.61,1.74,3.59,5.9,2.59,3.42,1.15,1.32,3.05,5.32,2.87,3.48,3.77,4.71,4,2.88,1.21,4.1,4.24,3.16,2.92,3.41,2.09,1.39,3.93,1.64,0.7,4.61,2.88,2.18,2.14,4.19,1.97,1.91,2.54,5.18,5.31,3.25,1.14,1.67,1.95,1.92,3.07,2.18,2.88,3.74,1.79,2.06,3.28,3.64,1.13,2.57,2.4,3.86,3.6,3.13,5.02,1.23,6.08,1.75,2.59,2.06,1.42,3.1,2.65,2.77,3.61,1.97,1.65,3.27,1.42,3.12,,,,,,,,
June,,,,,,,,,,5.04,4.51,4.53,7.14,2.43,1.2,1.27,2.5,0.36,5.55,0.98,4.56,2.75,4.14,2.03,3.86,2,4.41,5.72,4.55,3.78,4.88,4.73,1.94,2.43,2.19,1.89,1.69,5.1,3.18,2.03,4.8,2.69,6.57,3.49,2.24,1.83,3.32,2.54,2.84,3.89,2.25,0.66,3.51,1.89,3.91,0.93,3.43,4.02,5.64,2.85,3.89,6.25,1.96,5.01,1.78,4.56,4.27,2.89,6.58,2.22,2.14,1.11,0.92,5.27,4.68,6.04,5.55,2.75,3.73,2.12,3.69,2.71,3.48,1.68,3.05,4.85,4.57,2.16,4.91,3.5,4.04,,,,,,,,
July,,,,,,,,,,6,5.55,2.52,5.06,4.38,7.26,3.07,4.6,3.98,6.5,3.39,4.67,2.72,2.93,3.98,5.3,4.44,4.08,4.03,1.65,3.1,2.36,1.3,4.03,6.24,4.77,3.35,3.34,2.19,2.22,6.25,4.24,3.06,3.42,1.79,3.15,5.52,3.21,1.97,3.67,1.57,5.03,3.9,4.79,3.34,4.49,5.31,3.74,2.66,2.23,3.74,4.89,5.21,5.28,5.08,4,2.65,6.61,5.71,6.7,5.32,4.31,3.86,6.1,3.35,3.44,5.13,4.62,4.85,3.91,3.56,6.53,4.61,3.01,5.99,7.88,1.81,5.66,5.77,4.92,4.15,7.41,,,,,,,,
August,,,,,,,,,,4.45,1.55,4.42,4.52,4.54,3.78,2.19,3.32,4.96,4.49,7.33,6.3,7.05,7.77,5.09,3.9,6.08,4.41,5.42,6.55,3.62,5.29,5.31,2.95,6.94,6.42,6.36,4.37,3.74,3.68,3.5,5.82,3.15,4.29,2.03,6.95,3.62,3.93,7.53,3.55,4.43,2.89,5.32,3.47,8.48,8.81,3.63,4.17,4.97,6.89,5.91,8.49,3.49,2.79,3.68,7.04,3.69,3.79,3.78,3.23,1.7,2.2,5.82,6.48,9.17,3.47,1.87,5.19,0.96,4.04,4.13,7.45,4.89,4.01,4.32,3.46,0.76,8.02,5.26,5.14,2.62,6.85,,,,,,,,
September,,,,,,,,,,8.57,3.47,3.13,5.22,5.67,5.5,6.75,5.28,5.89,1.74,3.99,4.63,3.9,6.52,5.59,0.25,1.47,5.93,3.22,3.7,6.76,3.52,3.97,3.54,3.44,2.78,3.02,2.49,2,5.6,3.34,1.28,2.1,1.03,3.3,2.25,1.86,2.74,4.04,8.1,3.4,3.97,1.73,3.02,6.18,5,2.89,3.92,5.52,4.74,1.35,3.99,3.22,5.13,0.64,6.51,8.02,5.46,5.4,4.06,2.06,6.36,0.84,5.97,4.12,5.54,4.68,7.47,4.14,5.29,2.97,10.14,3.14,2.77,6.25,6.79,4.54,4.9,7.16,3.64,2.07,3.97,,,,,,,,
October,,,,,,,,,,4.28,1.63,4.29,3.96,7.48,5.91,7.35,6.67,3.54,3.98,5.95,4.54,5.91,4.24,4.82,3.73,7.37,6.35,2.64,3.66,3.03,7.19,5.65,3.77,6.96,2.79,2.65,6,4.51,0.99,5.22,2.35,2.93,4.97,2.64,3.26,2.1,7.55,9.28,6.74,1.82,2.25,4.6,1.38,5.97,4.48,4.02,4.41,3.29,5.12,6.53,7.15,2.76,5.41,4.13,7.1,9.06,5.09,0.94,9.63,3.69,5.05,6.15,6.35,5.24,6.36,5.73,1.77,3.47,5.07,4.42,4.3,2.46,4.07,3.13,6.9,4.38,4.18,4.96,3.4,7.85,3.32,,,,,,,,
November,,,,,,,,,,1.5,6.15,6.24,9.47,7.6,4.82,3.36,4.76,3.77,5.01,2.4,8.6,3.51,5.39,3.91,3.85,5.24,1.52,4.02,6.2,4.63,7.27,5.79,4.8,3.81,5.03,4.45,3.9,3.47,4.42,3.03,3.97,4.87,5.76,5.56,4.37,2.58,5.61,7.82,5.03,4.4,5.47,3.44,2.33,5.7,4.39,3.19,5.67,4.44,5.29,5.85,4.32,5.91,4.1,1.47,1.5,4.88,6.46,1.44,9.18,8.28,5.16,5.7,2.88,4.78,7.46,1.22,5.2,7.64,4.19,7.88,3.93,6.52,2.91,5.41,6.49,2.62,3.32,1.78,3.67,6.27,4.44,,,,,,,,
December,,,,,,,,,,2.95,5.69,4.62,5.36,4.49,5.93,3.74,8.57,5.27,4.77,6.19,3.42,5.74,3.47,6.27,5.04,5.58,6.13,5.16,4.93,5.9,6.9,6.14,5.01,3.8,3.14,2.49,5.14,4.38,4.02,3.72,2.85,6.9,6.99,3.93,5.23,6.46,3.92,3.01,6.31,7.43,3.42,5.48,5.13,4.95,6.45,3.6,2.34,1.49,4.08,7.45,4.9,4.64,5.62,1.72,4.93,3.96,5.55,3.37,6.03,3.87,6.25,3.28,5.51,4.16,7.03,4.57,6.84,5.79,7.05,8.58,4.33,6.66,6.14,3.64,4.51,5.18,6.06,6.42,6.13,5.76,5.64,,,,,,,,
Total,,,,,,,,,,,45.04,42.93,59.41,54.43,55.31,44.16,55.78,41.48,48.12,50.19,51.34,43.18,49.1,44.94,50.03,43.96,49.57,49.46,51.55,50.67,53.87,51.36,42.97,57.52,47.15,39.98,48.41,42.79,42.06,44.57,44.86,37.8,47.47,43.79,48.38,39.8,51.44,49.26,48.68,41.2,44.64,40.05,41.47,52.28,55,45.92,44.73,45.28,53.3,41.51,49.48,48.45,45.35,38.55,48.9,53.07,51.17,41.71,60.12,43.15,50.93,40.3,50.88,54.67,52.13,46.76,51.34,50.43,48.75,53.9,59.31,48.83,43.17,40.7,56.38,40.26,49.7,50.89,50.02,44.7,50.58,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1933 Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
