"BOGMUIR, KINCARDINE",,,,,,,,,,
Grid ref,NO 65073 71176,Long,-2.573955,Lat,56.830741,Elevation,175,ft,,
Station no,RR2754,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,3.4,2.4,4.7,3,2.8,3.5,3,,,
February,2.8,2.2,2,0.4,3.5,3,2.6,,,
March,2.6,2.3,3,1.6,2.3,2,4.5,,,
April,1.1,0.6,1.8,2.7,1.6,0.8,1.1,,,
May,1,2,3.1,1.7,1.5,2.4,0.7,,,
June,5.3,2.6,4.2,2.6,1,0.3,1.2,,,
July,3,2.7,2.1,0.6,1.5,2.5,1.8,,,
August,3.8,6.5,2,2.8,0.4,3.6,2.5,,,
September,0.4,3.8,2.6,2.2,3.8,0.5,3.5,,,
October,2.3,2.8,3.1,3.6,5.7,5.7,3.6,,,
November,5.2,4.7,1.1,1.6,5,3.2,1.6,,,
December,6.5,3,2.7,2,4.2,2.7,3,,,
Total,37.4,35.6,32.4,24.8,33.3,30.2,29.1,,,
