FRENSHAM-SPREAKLEY-HOLLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU839420,Long,-0.80029,Lat,51.17188,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,2.89,5.36,2.72,4.33,1.47,4.98,2.05,3.64,2.52,2.75,0.76,5.84,7.36,3.64,5.88,3.23,2.75,2.81,6.98,2.36,2.02,3.22,2.78,6.16,,
February,,,,,,5.03,2.04,4.93,2.36,0.6,1.12,1.88,0.24,5.13,0.09,3.88,2.58,5.18,0.56,1.47,3.1,3.1,0.53,1.61,0.82,2.37,2.71,,1.3,,
March,,,,,,0.69,0.31,4.23,2.39,0.1,1.26,0.24,1.84,4.07,3.08,0.49,2.07,4.68,0.18,1.1,3.27,3.81,2.18,0.52,0.27,0.75,1.16,,1.09,,
April,,,,,,2.56,3.09,1.88,2.07,0.67,2.22,3.87,2.7,0.88,2.2,3.45,2.02,2.62,0.08,2.44,2.51,1.85,1.81,1.17,1.24,1.35,2.57,2.67,2.17,,
May,,,,,,4.35,1.81,1.13,1.93,1.89,1.96,3.66,5,3.09,0.75,1.19,0.58,3.35,1.39,1.47,0.89,2.02,3.2,2.92,0.58,1.48,3.26,1.39,2.92,,
June,,,,,,0,2.46,3.06,2.82,1.57,0.42,2.19,1.76,1.35,1.31,3.6,3.06,1.5,0.61,1.5,0.69,1.49,0.3,1.84,1.81,2.09,2.71,2.01,2.43,,
July,,,,,,3.12,1.07,3.01,1.94,1.64,1.23,3.63,2.89,1.96,1.44,1,3.6,0.83,2.48,3.48,2.92,2.41,2.47,2.04,1.58,4.69,2.25,1.83,1.05,,
August,,,,,,3.73,1.46,3.58,1.77,1.41,3.29,4.14,1.46,0.82,2.32,2.83,0.48,1.1,1.44,1.5,0.05,4.44,2.93,1.68,1.57,0.91,5,0.45,4.33,,
September,,,,,,3.22,0.82,5.65,1.18,0.26,3.39,1.85,2.96,4.33,1.95,4.93,2.92,2.77,1.19,1.5,1.58,0.1,1.84,1.79,2.36,2.29,5.19,1.62,1.79,,
October,,,,,,3.88,2.59,1.89,5.94,3.91,1.57,0.62,5.29,2.19,1.6,4.14,2.21,3.22,3.19,4.97,4.25,1.17,3.34,3.15,4.45,3.75,1.29,0.75,2.42,,
November,,,,,,1.99,6.7,4.26,3.18,7.79,5.28,3.92,1.52,0.76,2.84,6.98,3.62,2.77,5.38,5.79,8.86,3.2,1.93,2.17,4.37,0.56,5.77,1.43,1.65,,
December,,,,,,3.91,0.24,4.69,2.96,8.52,2.75,0.8,0.79,0.47,7.89,3.88,3.58,4.99,4.35,1.48,1.57,1.95,4.28,2.06,2.79,4.09,3.48,2.92,4.8,,
Total,,,,,,35.37,27.95,41.03,32.87,29.83,29.47,28.85,30.09,27.57,28.22,37.13,32.56,40.37,24.49,32.58,32.92,28.29,27.62,27.93,24.2,26.35,38.61,,32.11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
