"FRANT, HAZELHURST",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,576,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,3.58,3.57,,,,,,,,,
February,,0.60,2.89,,,,,,,,,
March,,2.05,2.32,,,,,,,,,
April,,1.34,,,,,,,,,,
May,,1.70,,,,,,,,,,
June,,0.05,,,,,,,,,,
July,,0.64,,,,,,,,,,
August,,2.95,,,,,,,,,,
September,,0.81,,,,,,,,,,
October,,2.22,,,,,,,,,,
November,,1.60,,,,,,,,,,
December,,2.62,,,,,,,,,,
Total,,20.16,,,,,,,,,,
Calc annual,0.00,20.16,8.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
