"GOLDINGTON CASTLE MILLS",,,,,,,,,,,,
Grid ref,TL075507,Long,-0.430462,Lat,52.144140,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,1.92,1.44,0.80,2.43,0.70,0.91,0.50,,
February,,,,0.49,2.30,0.57,1.01,0.67,0.75,0.42,,
March,,,,2.04,1.03,1.85,1.54,0.58,2.30,2.23,,
April,,,,0.73,0.73,1.29,0.57,1.54,2.64,1.78,,
May,,,,2.83,1.35,0.94,1.23,4.41,1.04,1.28,,
June,,,,4.00,0.39,3.13,2.76,1.11,0.88,3.21,,
July,,,,2.74,2.94,1.44,0.85,2.18,2.84,2.54,,
August,,,,2.55,0.87,2.90,1.01,1.73,2.06,2.02,,
September,,,,1.86,1.48,1.40,0.85,0.73,1.80,2.65,,
October,,,,4.25,1.17,0.81,2.96,3.15,1.74,3.09,,
November,,,,1.77,1.26,1.68,3.34,1.53,0.65,0.48,,
December,,,,0.75,1.37,0.67,1.81,2.67,1.16,2.36,,
Total,,16.16,14.50,25.93,16.33,17.48,20.36,21.00,18.77,22.56,,
Calc annual,0.00,0.00,0.00,25.93,16.33,17.48,20.36,21.00,18.77,22.56,,
Difference,NaN,16.16,14.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
