"GOLDINGTON (CASTLE MILL HOUSE)",,,,,,,,,,,,
Grid ref,TL091509,Long,-0.407026,Lat,52.145624,,,,,,,
Station no,1181,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.38,1.32,0.96,0.85,1.81,3.57,1.06,2.22,2.86,,,
February,2.94,0.59,1.41,1.56,1.45,0.55,2.17,2.10,0.14,,,
March,2.93,2.72,0.49,2.00,1.25,0.56,1.56,1.58,1.93,,,
April,3.10,1.01,2.22,0.41,0.54,1.07,0.13,0.82,1.54,,,
May,2.14,1.77,1.30,2.51,3.89,0.51,1.52,1.80,0.55,,,
June,1.02,0.90,2.55,2.78,2.21,2.53,2.81,5.27,0.84,,,
July,1.33,0.30,2.23,2.60,0.37,3.88,2.01,2.55,2.06,,,
August,3.60,2.89,2.90,3.64,0.69,3.89,3.10,2.93,0.73,,,
September,1.14,1.76,0.76,1.69,2.21,1.71,3.23,2.92,0.05,,,
October,0.96,2.55,1.74,1.80,1.54,1.77,1.58,1.83,1.60,,,
November,3.34,2.82,1.28,3.45,1.10,0.55,1.49,1.72,1.66,,,
December,1.26,2.05,0.45,2.13,1.72,2.38,2.28,2.35,2.68,,,
Total,26.14,20.68,18.29,25.42,18.78,22.97,22.94,28.09,16.64,,,
Calc annual,26.14,20.68,18.29,25.42,18.78,22.97,22.94,28.09,16.64,0.00,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
