KINSON-EGLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ073964,Long,-1.89705,Lat,50.76767,Elevation,45,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,3.79,1.62,4.93,6.33,0.53,3.97,2.1,1.46,4.32,6.7,4.81,4.1,5.21,1.43,3.5,5.02,5.62,2.64,6,1.46,3.97,2.19,2.88,2.87,2.15,1,5.82,,,,
February,3.96,1.63,3.27,1.74,5.27,6.09,5.52,1.19,1.59,3.71,0.57,0.54,2.93,7.15,0.53,5,2.29,3.77,2.66,1.46,1.49,2.63,0.1,3.66,0.9,3.85,3.28,,,,
March,0.92,2.81,5.13,3.05,6.42,0.92,4.64,3.63,1.29,5.24,2.38,1.43,3.08,1.63,1.6,1.21,0.61,3.5,3.59,0.18,0.77,1.22,1.79,3.34,3.05,0.83,3.46,,,,
April,2.19,1.91,0.62,4.1,1.41,1.35,0.78,2.24,1.92,1.84,3.39,1.11,3.38,4.38,3.07,2.74,3.21,2.11,1.67,0.97,2.92,2.56,3.05,1.51,1.87,4.12,1.69,,,,
May,1.41,0.7,1.6,2.44,1.25,3,1.91,2.35,1.72,0.57,1.37,1.25,0.56,1.93,4.86,4.45,2.1,1.02,1.47,2.12,2.62,2.91,3.43,1.72,0.89,1.09,0.81,,,,
June,4.28,2.17,4.43,0.74,1.04,0.83,2.61,2.34,1.13,0.86,2.77,0.47,0.95,0.44,2.08,0,2.78,2.42,2.72,1.4,0.4,3.27,2.7,0.98,1.23,4.05,1.53,,,,
July,3.05,0.21,2.43,1.48,4.09,4.42,1.1,2.74,4.05,1.82,5.7,0.36,3.96,0.69,3.88,3.27,0.99,2.56,1.34,1.67,1.86,4.53,4.25,2.09,0.46,0.69,4.46,,,,
August,2.56,1.01,7.44,0.67,3.02,0.99,4.63,6.14,2.16,3.62,1.43,2.16,5.45,2.41,2.48,2.38,1.33,3.88,3.28,1.31,3.78,3.41,0.76,1.42,4.15,3.17,0.34,,,,
September,0.18,1.36,2.28,4.49,1.83,2.76,2.75,1.98,5.7,1.63,1.71,1.13,1.65,2.56,4.09,4.08,0.55,5.58,2.17,0.49,3.33,1.79,4.04,,2.37,3.85,3.17,,,,
October,5.61,5.21,5.47,4.67,2.25,5.31,4.72,5.17,1.74,1.07,2.71,1.58,1.54,6.1,5,4.2,4.35,2.5,7.89,4.83,2.66,0.89,5.98,,1.6,5.89,1.67,,,,
November,3.68,5.11,2.22,3.51,5.43,3.96,5.81,1.13,3.02,2.74,1.55,1.95,2.39,1.88,4.01,3.58,10.13,3.51,3.24,9.5,6.8,4.84,2.68,,2.42,9.67,3.59,,,,
December,6.39,9.01,4.98,2.03,10.89,9.59,4.9,1.34,3.16,6.11,3.95,1.75,4.92,3.93,5.84,4.22,0.68,4,2.91,7.7,4.33,1.14,1.72,,9.13,5.35,3.95,,,,
Total,38.02,32.75,44.8,35.25,43.43,43.19,41.47,31.71,31.8,35.91,32.34,17.83,36.02,34.53,40.94,40.15,34.64,37.49,38.94,33.09,34.93,31.38,33.38,,30.22,43.56,33.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NB Note this gauge changed county in 1936 from Dorset to Hants with a corresponding change in Stn No and River Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Unable to record full year owing to death of wife May continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Total corrected To match total given Feb would have to be 0.09 which is unlikely in Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Station transferred to Hants 2 Stn No 619/2 due to county boundary changes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Observer unable to continue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
