"FELTON, NEWTON ON THE MOOR SCHOOL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NU170053,Long,-1.7335193,Lat,55.341448,Elevation,500,ft,,,,,,,,,,,,,
Station no,RR4813,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,1.63,3.08,4.45,2.57,2.49,1.59,3.15,3.2,4.28,2.55,,,,,,,,,,
February,,0.75,2.96,0.62,1.52,3.69,2.97,1.07,1.21,2.35,1.51,,,,,,,,,,
March,0.62,1.92,1.95,3.19,3.08,2.26,3.82,2.03,1.07,2.13,2.64,,,,,,,,,,
April,1.59,1.09,0.16,3.2,0.49,0.67,1.7,2.29,1.41,1.2,3.16,,,,,,,,,,
May,2.3,0.87,2.25,3.48,1.41,1.64,2.5,2.05,3.22,1.52,4.02,,,,,,,,,,
June,0.83,4.56,5.75,2.56,2.59,0.79,2.36,1.1,0.32,0.66,0.96,,,,,,,,,,
July,2.95,0.55,3.4,0.83,2.41,4.14,3.72,1.51,3.77,0.67,3.4,,,,,,,,,,
August,3.76,2.26,5.81,1.31,2.21,3.59,3.03,6.36,1.72,0.49,0.22,,,,,,,,,,
September,0.84,2.05,2.63,3.21,1.37,2.51,2.04,1.2,5.53,0.92,1.88,,,,,,,,,,
October,2.75,3.72,3.45,1.77,2.77,2.22,3.99,2.07,3.06,3.15,2.23,,,,,,,,,,
November,3.69,3.28,1.96,2.02,3.95,1.77,3.76,1.24,1.17,3.8,1.33,,,,,,,,,,
December,2.32,3.58,1.43,1.49,4.5,6.25,4.14,1.86,2.11,2.6,2.94,,,,,,,,,,
Total,,26.26,34.83,28.13,28.87,32.02,35.62,25.93,27.79,23.77,26.84,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1919 Jan mistranscribed,,,,,,,,,,,,,,,,,,,,,
