MOIDART (GLENMOIDART),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM745728,Long,-5.694021,Lat,56.791948,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5718/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.61,1.68,1.34,7.77,7.97,9.17,7.13,9.35,6.14,8.26,13.18,7.53,11.45,6.01,6.72,10.67,5.13,5.75,11.06,10.56,4.35,4.91
February,,,,,,,,,9.77,3.4,4.05,4.1,9.63,4.71,9.11,8.75,0.09,7.73,8.69,6.6,5.32,4,6.19,4.93,4.28,5.02,4.4,7.05,3.02,6.37
March,,,,,,,,,7.37,7.77,3.24,3.06,5.43,5.75,6.39,4.42,1.81,6.37,7.33,6.06,4.5,5.06,2.23,4.04,2.39,3.73,7.1,1.45,5.63,2.04
April,,,,,,,,,5.85,3.33,5.42,2.3,8.77,4.63,4.01,5.64,9.53,6.73,9.78,8.17,4.86,4.6,6.8,2.5,7.31,3.4,4.18,4.61,5.95,6.27
May,,,,,,,,6,2.38,3.04,2.63,3.96,4.21,7.92,4.7,1.17,3.66,1.88,4.6,2.9,1.71,4.14,4.56,4.62,4.01,5.43,1.84,5.05,1.7,3.27
June,,,,,,,,7,3.26,2.49,2.67,5.42,5.79,6.73,8.72,7.44,5.84,5.99,3.95,7.21,3.16,5.38,1.38,6.86,4.85,5.15,7.4,2.34,5.72,5.6
July,,,,,,,,6.3,13.26,7.69,5.5,10.77,5.99,3.66,5.79,10.77,7.2,6.58,5.81,8.98,10.19,7.01,10.83,8.32,2.2,9.44,8.89,2.1,9.11,6.28
August,,,,,,,,6.5,3.24,11.4,10,13.32,9.43,4.61,3.82,7.2,0.07,7.32,10.61,9.81,5.95,5.5,10.74,7.76,2.74,5.27,10.1,5.68,5.87,5.87
September,,,,,,,,8.86,5.24,10.81,4.39,12.28,8.97,8.14,8.8,7.87,12.6,11.23,4.3,14.71,6.31,7.08,10.04,13.59,11.19,6.83,5.77,5.58,5.17,3.22
October,,,,,,,,12.48,3.25,9.13,8.83,14.84,14.61,9.82,6.58,0.86,5.88,11.27,10.92,9.79,5.86,9.03,7.49,12.4,11.3,6.47,11.67,11.26,11.27,1.13
November,,,,,,,,11.85,12.29,10.09,9.14,5.25,8.54,8.48,1.51,8.15,11.82,6.4,11.23,6.39,9.77,4.61,14.1,10.56,4.05,10.82,6.29,4.58,9.39,7.91
December,,,,,,,,9.58,5.19,11.32,8.75,12.16,7.48,10.27,8.41,8.62,4.66,9.76,15.52,6.35,13.33,6.89,11.24,13.77,4.06,13.48,10.93,7.14,10.23,9.95
Total,,,,,,,,,75.71,82.15,65.96,95.23,96.82,83.89,74.97,80.24,69.3,89.52,105.92,94.5,82.41,69.31,92.32,100.02,63.51,80.79,89.63,67.4,77.41,62.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 NP High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 J A Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Mar Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Oct Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Ja estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5718/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,703280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
