"PORTSKEWETT (SUDBROOK)",,,,,,,,,,,,
Grid ref,ST508874,Long,-2.711477,Lat,51.583298,,,,,,,
Station no,4010,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.24,2.96,0.80,1.66,3.48,3.95,4.43,2.67,4.02,4.91,,
February,3.79,0.51,1.64,3.37,1.47,0.21,4.03,4.92,0.43,2.47,,
March,3.94,2.53,0.94,2.60,1.45,0.72,4.17,1.33,3.40,2.17,,
April,3.18,2.54,3.70,0.57,1.73,2.29,0.05,1.35,3.35,1.84,,
May,2.91,4.71,2.21,1.86,4.29,0.76,1.10,3.85,0.84,0.87,,
June,0.64,2.13,1.61,2.81,3.19,3.25,1.09,3.65,2.54,2.22,,
July,0.93,1.68,4.64,3.33,0.17,2.51,3.61,2.93,2.77,4.88,,
August,4.32,4.87,3.39,3.81,0.67,3.70,2.57,3.25,2.70,6.16,,
September,3.13,2.55,3.07,5.38,1.05,3.63,4.17,6.64,0.11,5.70,,
October,1.11,4.75,2.14,4.59,1.70,1.76,4.43,3.74,4.02,7.43,,
November,6.49,3.96,2.85,6.18,3.91,1.09,2.31,2.99,3.70,7.13,,
December,4.05,2.28,0.96,2.34,3.70,5.51,2.44,4.43,7.95,5.64,,
Total,37.73,35.47,27.95,38.50,26.81,29.38,34.40,41.75,35.83,51.42,,
Calc annual,37.73,35.47,27.95,38.50,26.81,29.38,34.40,41.75,35.83,51.42,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
