"PORTSKEWETT SUDBROOK",,,,,,,,,,,,
Grid ref,ST508874,Long,-2.711477,Lat,51.583298,,,,,,,
Station no,4010,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.02,1.77,1.55,3.94,4.00,0.79,4.27,2.25,2.04,1.27,,
February,5.58,0.69,1.57,1.79,4.02,0.83,2.43,1.53,1.56,0.48,,
March,1.01,2.00,1.71,4.36,1.56,4.14,1.98,1.25,2.95,3.64,,
April,0.96,2.95,1.74,2.61,1.98,2.80,1.00,2.27,3.11,2.17,,
May,2.21,1.12,1.95,3.31,2.71,0.28,2.35,2.68,1.17,0.90,,
June,1.82,2.58,2.69,2.27,1.02,3.29,2.41,2.93,1.33,2.78,,
July,1.38,3.00,1.15,3.71,3.47,0.75,0.58,2.20,2.58,2.61,,
August,3.04,3.14,4.10,4.17,2.37,2.96,2.26,1.73,5.27,3.21,,
September,0.93,1.63,1.66,3.87,1.55,0.81,0.76,0.68,2.88,3.82,,
October,4.12,1.16,2.52,7.78,0.80,1.94,5.35,6.63,2.45,5.78,,
November,2.78,0.62,3.32,1.78,1.99,2.99,2.86,2.67,1.01,1.48,,
December,6.53,5.43,2.97,2.57,2.56,1.08,1.42,6.12,2.72,4.60,,
Total,34.38,26.09,26.93,42.16,28.03,22.66,27.67,32.94,29.07,32.74,,
Calc annual,34.38,26.09,26.93,42.16,28.03,22.66,27.67,32.94,29.07,32.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
