HAYFIELD-UPPER-SETT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK074855,Long,-1.8902572,Lat,53.366318,Elevation,1420,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/6/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.73,6,4.73,6.72,3.6,4.64,5.2,5.23,8.15,5.93,6.1,4,10.95,4.13,4.15,6.01,5.8,3.3,5,4,7.57,3.55,5.4,4.45,8.88
February,,,,,,4.14,7.37,2.05,3.93,4.7,7,3.6,4,3.66,5.5,7.28,2.2,3.93,2.53,6,4.28,4,3.2,5.55,3.8,2.52,3.5,8.9,0.85,5.1
March,,,,,,3.67,11.15,2.66,3.07,3.3,5.88,4.18,1.75,1.47,2.2,1.89,7.6,1.67,2.64,2.06,7.1,2.85,3.4,3.85,4.21,2.34,4.45,3.6,2.4,1.95
April,,,,,3.94,1.96,4.85,0.65,3.24,3.74,2.55,1.6,2.3,3.53,2.8,1.95,3.8,1.92,4.65,4,3.45,3.83,3.4,1.2,2.2,2.12,0.55,1.5,3.15,2.45
May,,,,,0.44,1.4,2.61,3.95,2.35,0.84,3.02,4.12,3.02,4.36,4.31,1.49,3.49,1.29,2.71,1.07,2,3.1,2.5,4.1,5.2,1.62,1.28,4.2,0.5,2.42
June,,,,,4.67,3.98,2.2,4.7,2.69,0.89,2.9,1.28,3.78,4.1,4.56,4.47,2.84,6.52,1.33,3.2,1.84,3.05,2.7,3.76,3.8,3.03,1.5,6.8,2.35,1.36
July,,,,,2.97,6.8,5.92,6,7.3,4.44,3.84,6.25,1.97,4.67,2.6,5.24,3.48,3.54,2.08,2.65,3.61,5,4.7,7.25,1.1,8.7,7.3,6.9,4.25,8.25
August,,,,,2.42,3.23,1,2.93,2.38,2.95,6.42,4.95,5.73,4.02,3.7,5.48,0.36,6.28,3.7,5.5,6.27,2.25,5.25,6.8,0.7,11.2,8.35,3.78,0.75,7.72
September,,,,,7.2,7.35,1.26,3.41,1.31,4.3,0.73,3.76,5.97,5.89,2.85,6.73,2.41,3.6,2,6.5,2.81,6,3.05,5,2.4,4.65,9.65,6.7,0.19,4.7
October,,,,,9.78,6,4.44,8.04,4,3.91,5.76,8.45,2.98,5.31,7.34,1.34,1.09,3.1,3.96,2.7,1.27,5.65,2.3,8.08,3.23,3.25,4.7,5.2,3.91,7
November,,,,,6.78,5.97,2.28,5.3,7.54,8.93,4.19,1.83,4.9,7.66,0.87,7.91,6.11,2.84,6.48,6.72,10.45,3.05,3.25,9.2,2.82,2.72,2.6,2.05,6,6.8
December,,,,,7.76,7.6,5.5,6.93,2.84,5.33,3.06,4.29,2.5,4.09,3.33,5.15,6.53,4,7.1,4.38,6.6,4.8,2.75,7.75,5.92,7.75,6.25,4.75,7.1,4.75
Total,,,,,,57.83,54.58,51.35,47.37,46.93,49.99,49.51,44.13,56.91,45.99,55.03,43.91,49.64,43.31,48.93,55.69,49.38,39.8,67.54,39.38,57.47,53.68,59.78,35.9,61.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11870 UPPER SETT Start 1935 end 1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record. Stated altitude is 100ft too low or gauge is 100m SW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
