"HAYFIELD EDALE CROSS",,,,,,,,,,,,
Grid ref,SK077860,Long,-1.885737,Lat,53.370808,,,,,,,
Station no,2643/6/8,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.25,2.72,3.30,1.96,5.14,1.20,2.37,1.10,,
February,,,1.43,2.90,3.22,1.62,2.44,1.36,2.72,1.95,,
March,,,2.55,4.08,1.91,3.82,2.62,2.62,3.02,3.53,,
April,,,2.13,2.38,1.93,2.98,1.75,2.52,2.63,2.40,,
May,,,3.95,3.23,2.83,1.13,4.77,4.37,3.55,2.54,,
June,,,2.36,1.76,1.32,2.95,1.93,6.82,2.12,4.11,,
July,,,3.06,3.70,2.33,2.40,2.38,3.43,4.65,6.24,,
August,,,4.75,5.40,5.22,5.87,3.35,4.57,4.00,3.32,,
September,,,1.73,5.92,2.03,2.75,1.75,0.88,4.00,3.63,,
October,,,5.60,8.85,1.30,3.45,6.28,7.43,1.48,5.35,,
November,,,3.50,3.75,2.68,5.56,4.72,3.10,2.80,1.25,,
December,,,3.10,2.13,2.15,0.75,2.44,2.90,2.85,5.30,,
Total,,,37.41,46.82,30.22,35.24,39.57,41.20,36.19,40.72,,
Calc annual,0.00,0.00,37.41,46.82,30.22,35.24,39.57,41.20,36.19,40.72,,
Difference,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
