KINGSBRIDGE-WESTCOMBE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX733447,Long,-3.77927,Lat,50.28913,Elevation,100,ft,,,,,,,,,,,,
Station no,RR7909,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,2.21,4.35,6.72,1.94,8.44,1.98,1.96,2.83,6.08,1.89,4.94,2.58,1.45,3.42,1.72,,,
February,,,2.01,2.5,6.76,0.96,5.69,1.91,2.5,0.52,7.15,3.24,4.42,4.85,4.7,5.79,6.86,,,
March,,,3.37,4.33,3.43,6.07,2,1.28,4.26,7.06,1.2,4.39,6.56,3.5,7.15,1.4,4.72,,,
April,,,2.33,2.5,1.75,2.84,0.98,6.53,3.56,2.15,2.28,2.12,0.16,2.99,1.55,1.44,0.84,,,
May,,,2.33,1.68,3.8,0.91,4.83,4.57,2.12,1.04,2.5,1.02,2.23,1.34,1.69,3.62,2.2,,,
June,,,2.68,1.32,1.3,3.74,1.57,3.05,1.08,3.76,1.43,1.94,5.68,0.98,1.6,1.96,2.07,,,
July,,2.82,2.29,3.75,5.74,0.65,1.39,2.04,2.44,3.98,3.41,1,2.48,1.03,3.96,4.75,1.34,,,
August,,1.82,3.06,4.24,3.07,5.61,2.34,2.44,3.24,2.39,4.46,1.01,8.89,2.97,2.82,1.64,3.92,,,
September,,5.12,2.62,4.25,3.41,2.99,1.33,2.34,3.4,1.77,0.39,2.78,1.37,4.38,3.09,1.64,2.5,,,
October,,2.38,5.01,8.16,3.61,2.18,6.32,12.3,2.24,9.2,7.65,5.74,5.16,3.96,3.93,4.48,7.97,,,
November,,0.4,5.51,2.23,2.24,6.16,5.04,4.87,1.54,1.74,7.14,5.49,2.51,1.4,4.28,4.66,6.36,,,
December,,8.35,3.77,5.77,4.43,2.15,3.75,8.4,7.63,7.85,9.2,10.74,6.8,9.42,9.78,8.68,5.33,,,
Total,,,37.19,45.08,46.26,36.2,43.68,51.71,35.97,44.29,52.89,41.36,51.2,39.4,46,43.48,45.83,,,
,,,,,,,,,,,,,,,,,,,,
1912 Aug 30 Inspection On lawn Quite fair exposure,,,,,,,,,,,,,,,,,,,,
