"CAMBRIDGE TRINITY COLLEGE",,,,,,,,,,,,
Grid ref,TL447586,Long,0.116179,Lat,52.206633,,,,,,,
Station no,RR1685,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.51,0.35,0.52,,,,,,,,,
February,3.39,0.70,1.09,,,,,,,,,
March,0.76,1.98,0.77,,,,,,,,,
April,0.63,1.59,0.95,,,,,,,,,
May,1.32,0.84,3.60,,,,,,,,,
June,2.14,1.53,1.63,,,,,,,,,
July,0.95,1.40,,,,,,,,,,
August,2.14,1.59,,,,,,,,,,
September,0.52,1.03,,,,,,,,,,
October,1.70,2.15,,,,,,,,,,
November,1.68,1.14,,,,,,,,,,
December,1.97,2.12,,,,,,,,,,
Total,19.71,16.42,,,,,,,,,,
Calc annual,19.71,16.42,8.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
