FRINDSBURY-THE-SHRUBBERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ7390369729,Long,0.49858941,Lat,51.399936,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,0.57,1.81,3.26,0.94,3.66,1.06,1.09,0.85,2.27,0.94,2.62,3,0.46,3.03,0.84,0.89,2.88,3.1,2.37,1.49,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.08,1.17,2.69,0.66,1.89,1.31,1.07,0.79,3.78,0.98,1.05,0.74,2.64,3.29,3.86,0.42,0.65,2.08,0.43,0.67,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.18,1.85,1.33,2.46,1.33,0.64,2.47,3.06,1.49,1.95,2.9,2.11,4.79,0.96,4.09,1.33,0.96,2.52,0.53,1.14,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.28,1.7,0.91,1.97,0.65,2.37,2.74,1.54,1.44,1.55,0.01,2.3,1.03,1.19,1.24,1.94,1.94,3.61,2.65,1.47,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.3,2.02,1.47,1.09,1.58,2.3,1.54,1.02,2.67,1.4,0.68,1.37,1.58,3.88,1.72,1.86,1.43,0.1,0.37,1.15,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.21,5.1,1.18,4.63,2.22,2.37,1.47,2.49,1.96,1.72,2.83,0.44,0.71,1.14,1.74,1.41,0.65,0.97,1.56,0.21,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,1.42,4.29,2.21,0.33,1.49,1.43,2.79,3.58,2.39,0.44,1.34,2.34,0.77,2.93,1.33,6.08,4.34,1.93,2.96,0.3,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.56,3.16,1.79,1.9,0.59,1.68,3.07,2.31,1.52,0.89,3.76,1.14,0.8,1.61,2.36,4.87,1.27,2.05,1.35,0.61,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,0.75,1.65,0.87,1.93,1.29,0.4,1.52,3.1,0.79,1.24,2.41,1.72,0.53,2.14,0.84,0.83,3.3,0.94,4.12,0.92,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,1.44,3.89,1.65,1.33,3.81,3.49,1.61,3.82,2.08,4.26,2.44,4.16,1.92,1.63,2.34,2.92,2.83,0.54,0.75,0.92,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
