"ASHWELLTHORPE (TACOLNESTON HALL)",,,,,,,,,,,,
Grid ref,TM137955,Long,1.148053,Lat,52.515466,,,,,,,
Station no,1402/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.39,3.30,1.29,,,,,,,,,
February,3.65,1.46,1.73,,,,,,,,,
March,3.58,2.98,0.65,,,,,,,,,
April,3.92,1.51,2.41,,,,,,,,,
May,2.11,1.72,1.48,,,,,,,,,
June,1.21,2.12,2.60,,,,,,,,,
July,2.54,1.16,3.61,,,,,,,,,
August,3.49,3.41,2.89,,,,,,,,,
September,2.20,2.47,1.54,,,,,,,,,
October,0.87,3.40,2.60,,,,,,,,,
November,4.11,5.29,1.73,,,,,,,,,
December,1.67,3.54,1.40,,,,,,,,,
Total,32.74,32.36,23.93,,,,,,,,,
Calc annual,32.74,32.36,23.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
