OLLERTON-WHITEMOOR-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK654709,Long,-1.0217197,Lat,53.231121,Elevation,175,ft,,,,,,,,,,,,
Station no,RR7223,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.62,3.23,2.26,1.07,2.13,1.26,2.84,1.24,1.04,0.15,0.53,,,,,,,,
February,,1.5,2.05,1.06,1.41,1.12,2.07,1.77,1.12,2.33,1.93,3.02,,,,,,,,
March,,0.96,1.93,1.82,0.71,0.66,2.27,2.46,0.54,0.6,2.25,2.05,,,,,,,,
April,,3.25,3.97,0.86,1.43,0.64,1.75,2.86,1.58,2.54,1.09,0.86,,,,,,,,
May,,1.61,1.04,2.13,1.21,1.43,0.84,2.05,4.5,4.17,1.32,2.27,,,,,,,,
June,,3.66,2.66,1.25,0.96,2.4,2.66,1.41,1.96,3.54,3.33,1.45,,,,,,,,
July,,4.06,5.09,2.49,1.43,3.16,1.61,2.67,0.98,3.28,5.79,0.99,,,,,,,,
August,,1.04,2.49,2.66,1.73,2.11,1.52,4.44,6.25,2.92,2.72,5.32,,,,,,,,
September,,5.75,3.17,1.67,1.82,2.39,3.58,3.2,1.54,2.21,4.54,1.62,,,,,,,,
October,5.05,1.21,4.61,2.56,2.22,4.19,1.86,1.15,3.13,0.75,6.59,2.74,,,,,,,,
November,2.08,1.29,3.61,2.26,2.17,3.36,3.18,1.99,2.72,1.81,2.51,1.92,,,,,,,,
December,2.74,1.68,3.19,0.23,1.44,1,6.01,1.68,1.49,0.81,2.23,1.91,,,,,,,,
Total,,26.63,37.04,21.25,17.6,24.59,28.61,28.52,27.05,26,34.45,24.68,,,,,,,,
