LINCOLN - BEAUMONT FEE,,,,,,,,,,,,,,
Grid ref,SK974714,Long,-0.542,Lat,53.231,Elevation,48,ft,,,,,,
Station no,2556/7,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,2.37,1.43,3.18,,2.80,2.31,4.00,2.46,3.10,1.54,2.21,3.68,1.05,0.98
February,1.62,1.16,0.38,,2.46,1.32,0.50,2.69,1.65,2.34,1.91,0.72,0.55,4.16
March,1.21,0.20,1.35,,2.24,1.22,0.49,0.56,0.92,1.23,4.16,0.39,1.08,0.88
April,2.22,0.08,1.14,,0.67,0.52,1.14,2.13,1.53,1.73,1.80,1.20,1.96,2.58
May,2.62,3.02,1.04,,1.57,2.28,2.58,1.62,2.14,1.37,0.81,1.83,2.11,
June,0.99,0.70,2.40,,0.22,0.98,1.92,2.02,2.42,2.13,2.47,3.55,0.73,
July,3.29,3.17,2.38,,2.96,1.78,0.85,2.37,1.44,1.95,1.90,1.47,2.72,
August,0.44,1.40,1.99,,2.41,2.12,1.80,2.94,2.75,3.91,0.15,2.67,2.12,
September,0.66,2.00,0.85,,0.52,1.20,3.22,3.11,1.13,3.42,0.98,2.03,2.70,
October,1.72,1.60,2.88,,2.72,2.06,1.55,2.97,2.45,1.33,0.24,1.64,3.22,
November,1.29,2.16,2.85,,2.15,2.26,1.73,4.27,0.43,4.91,1.22,0.95,,
December,2.33,3.43,1.05,,0.25,2.26,0.72,1.31,1.48,3.01,2.09,2.97,,
Total,20.76,20.35,21.49,,20.97,20.31,20.50,28.45,21.44,28.87,19.94,23.10,,
,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/138,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/222,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The grid reference on the 1940s sheet seems to be wrong.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# The gauge moved to West Common in 1950.,,,,,,,,,,,,,,
