REDESDALE HORSLEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY841972,Long,-2.2517726,Lat,55.268693,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,1.15,3.46,1.69,1.95,1.15,3.41,1.95,3.1,-999,1.08,4.3,4.4,1.75,1.47,5.28,2.4,0.85,,,,
February,,,,,,,,,,1.1,1.04,0.06,1.94,3.65,5.8,1.05,0.85,-999,1.47,2.02,3.2,0.7,1.45,3.87,2.43,1.35,,,,
March,,,,,,,,,,2.44,2.03,3.35,0.55,0.9,2.1,2.7,2.9,4.87,1.05,1.9,0.75,2.45,1.46,3.21,1.7,3.5,,,,
April,,,,,,,,,,4.31,0.9,1.51,1.15,0.57,0.85,0.8,1.45,1.86,2.4,3.2,2.6,1.25,1.75,0.93,2.45,2,,,,
May,,,,,,,,,,1.38,1.64,1.97,3.06,2.25,3.75,0.35,0.95,0.95,1.58,1.36,2.05,2,2.56,1.25,2.42,,,,,
June,,,,,,,,,,0.39,2.95,1.15,4.25,1.41,1.9,1.35,2.5,3.12,1.52,0.92,4.76,1,1.3,0.8,1.2,,,,,
July,,,,,,,,,,3.09,1.9,4.26,2.15,4.38,2.68,2.3,2.6,1.75,0.76,1.9,1.5,1.35,2.83,4.45,1.55,,,,,
August,,,,,,,,,,2.85,4.13,5.86,5.39,3.17,3.25,3.7,1.5,3.75,3.7,0.5,4.45,2.3,1.74,3.2,2.4,,,,,
September,,,,,,,,,,1.62,1.88,5.52,2.64,1.99,1.4,0.6,3.6,2.63,0.96,3.84,1.27,1.6,1.07,2.95,0.87,,,,,
October,,,,,,,,,,4.95,1.58,2.33,4.5,1.73,4.1,4.15,5.8,1.4,5.55,1.6,4.8,2.3,2.12,8,0.8,,,,,
November,,,,,,,,,,0.95,4.86,2.57,1.76,2.83,2,3.85,1.2,2.65,2.65,1.26,4.1,4.25,1.74,2,1.85,,,,,
December,,,,,,,,,,1.99,1.58,6.03,1.08,2.95,3.37,2.45,5,4.22,3.75,3.15,4.15,2.95,3.8,1.92,2.2,,,,,
Total,,,,,,,,,,26.22,27.95,36.3,30.42,26.98,34.61,25.25,31.45,30.1,26.47,25.95,38.03,23.9,23.29,37.86,22.27,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897 Jan-Feb bracketed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
