HAYLE-GWYTHIAN-ROAD,,,,,,,,,,,,,,,,,,,
Grid ref,SW580396,Long,-5.39286,Lat,50.20684,Elevation,98,ft,,,,,,,,,,,
Station no,1872,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.12,6.09,3.68,6.71,6.9,7.66,3.51,7.71,4,4.69,3.24,4.04,1.31,6.33,,,,
February,,7.9,2.94,6.06,3.21,3.15,3.9,2.69,3.42,3.12,0.06,3.99,0.2,4.14,5.91,,,,
March,,2.38,2.21,0.58,0.88,3.91,6.1,0.52,3.25,3.52,2.11,2.63,4.3,1.01,3.84,,,,
April,,3.85,3.2,3.31,2.86,2.3,2.61,0.99,2.83,1.22,2.47,2.77,3.6,3.33,1.91,,,,
May,,1.87,2.67,3.3,1.7,0.72,1.22,4.54,1.52,3.66,5.53,2.37,1.69,1.17,1.38,,,,
June,,0.43,1.72,0.07,2.92,3.27,2.37,2.89,1.46,3.08,3.36,1.81,1.77,2.92,1.61,,,,
July,,0.97,3.71,3.21,0.86,3.17,1.39,1.35,2.73,5.13,3.58,2.48,0.2,0.51,7.22,,,,
August,,2.95,2.59,3.75,2.17,2.68,1.39,2.88,5.36,3.53,1.3,1.49,2.94,2.62,,,,,
September,,3.09,4.07,2.98,0.73,5.79,0.87,0.61,5.6,2.94,4.33,2.25,3.44,4.24,,,,,
October,2.53,5.64,8.64,4.83,3.54,2.46,7.39,6.9,5.26,1.14,8.32,7.07,3.28,4.44,,,,2.99,
November,2.29,4.23,4.27,3.96,7.95,3.94,4.77,12.1,6.73,9.35,2.81,1.72,2.1,6.35,,,,,
December,6.12,4.29,8.49,4.96,1.18,3.98,4.94,9.14,4,1.7,3.82,2.35,11.67,4.8,,,,,
Total,,39.72,50.6,40.69,34.71,42.27,44.61,48.12,49.87,42.39,42.38,34.17,39.23,36.84,,,,,
,,,,,,,,,,,,,,,,,,,
Unknown location but matches move from previous house and elevation,,,,,,,,,,,,,,,,,,,
1922 Sept 30 Gauge moved 400 metres SW,,,,,,,,,,,,,,,,,,,
1936 Moved gauge to Newlyn Headland View 1906/3,,,,,,,,,,,,,,,,,,,
1939 Gauge returned from Newlyn but only one month read before observer too ill to continue,,,,,,,,,,,,,,,,,,,
