DUMFRIES CRICHTON ROYAL INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX980747,Long,-3.5982,Lat,55.0567,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,
January,,,,,,,,,4.68,2.57,5.36,6.65,4.87,1.91,4.42,3.34,6.02,3.69,8.75,1.79,4.89,4.2,5.24,5.33,4.72,1.41,5.21,4.59,4.97,5.94,3.41,0.98,4.92,5.69,3.85,3.22,4.73,6,7.43,2.43,2.39,5.62,3.9,1.23,4.01,3.54,3.53,5.21,5.23,1.8,4.48,,,,,,
February,,,,,,,,,3.9,1.02,3.24,0.39,2.95,5.15,0.24,4.62,4.69,2.28,3.89,1.12,0.18,2.47,0.07,2.54,0.28,4.13,2.13,4.45,1.99,4.72,1.32,4.33,2.16,2.88,0.89,4.59,1.94,0.99,3.48,3.37,3.02,3.29,0.57,0.97,4.18,2,0.66,4.61,3.95,1.11,5.59,,,,,,
March,,,,,,,,,1.54,3.37,4.28,5.04,2.13,1.52,1.21,0.72,1.45,3.19,4.88,0.77,2.5,0.83,2.96,1.98,2.28,1.04,2.67,1.68,1.91,3.09,4.33,3,4.62,0.99,0.3,2.51,3.96,6.64,2.79,1.59,4.33,2.9,2.52,0.48,3.16,2.1,1.56,2.56,1.54,3.08,1.52,,,,,,
April,,,,,,,,,0.5,1.76,2.45,0.9,2.29,4.1,2.85,4.19,1.91,1.74,1.33,1.11,1.2,1.73,2.54,1.69,3.3,3.62,0.65,3.28,0.29,1.13,2.4,1.67,2.63,2.31,2,2.37,0.9,5.72,3.56,2.97,3.36,2.34,2.73,2.67,0.89,1.41,0.97,1.83,0.95,3,4.35,,,,,,
May,,,,,,,,,2.03,0.71,4.35,2.61,2.31,1.74,3.39,4.75,2.19,2.15,1.7,3.28,1.66,3.41,2.59,3.02,2.7,0.74,1.35,1.63,4.22,0.52,1.37,2.81,4.26,4.32,2.19,4.83,1.18,4.45,2.33,1.88,1.98,2.43,3.43,2.37,4.33,2.57,1.94,3.02,3.88,0.8,1.64,,,,,,
June,,,,,,,,,1.33,1.64,1.53,0.36,1.44,0.96,1.43,0.27,3.41,3.77,6.11,1.95,1.87,6.14,1.93,2.45,1.95,4.45,2.68,2.56,4.6,2.87,1.11,0.39,0.8,3.27,2.99,3.5,3.39,3.63,6,0.87,2.77,1.35,2.8,1.7,3.33,2.57,2.59,1.07,3.68,3.21,2.23,,,,,,
July,,,,,,,,,3.06,0.99,3.67,4.99,3.89,3.78,3.75,1.64,3.69,7.1,3.19,4.57,3.45,4.5,3.12,3.37,2.11,1.35,4.23,3.18,5.13,5.1,6.18,3.34,2.69,2.84,4.55,2.8,3.07,4.81,2.79,3.17,4.3,2.54,2.65,5.94,2.95,1.96,5.95,5.11,4.7,2.55,4.24,,,,,,
August,,,,,,,,,4.3,2.85,3.11,6.05,2.6,8.42,3.66,4.9,4.63,5.97,6.6,4.72,7.07,2.4,1.86,1.58,6.64,3.15,1.51,2.25,1.67,1.33,0.77,5.76,4.44,6.01,2.73,1.13,4.54,0.27,7.63,2.53,6.52,5.66,3.93,2.85,4.18,1.71,7.8,3.69,3.75,0.69,3.78,,,,,,
September,,,,,,,,,5.41,3,1.99,1.76,2.21,5.17,4.42,2.46,3.42,6,2.13,0.39,2.79,1.49,4.05,1.16,6.3,4.13,5.28,2.6,3.68,2.27,3.27,1.76,4.16,2.89,5.87,4.46,6.66,2.79,4.93,1.91,8.47,4.13,1.62,5.17,5.78,2.32,5.1,3.78,5.56,1.52,3.5,,,,,,
October,,,,,,,,,5.05,1.18,2.48,2.49,1.78,5.78,3.28,4.66,3.12,4.1,7.61,5.19,6.12,2.32,6.02,2.5,4.87,6.75,3.36,4.75,6.96,3.13,4.54,4.69,3.94,7.48,4.47,4.31,0.8,0.99,3.44,6.39,2.55,0.25,5.4,3.76,8.15,3.47,2.99,4.79,4.19,4.89,3.32,,,,,,
