DUMFRIES CRICHTON ROYAL INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX980744,Long,-3.597,Lat,55.0541,Elevation,155,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,5.77,1.09,4.78,5.79,3.31,4.41,7.55,2.97,4.71,6.12,4.11,2.61,8.15,7.84,4.59,7.18,1.86,7.66,3.65,1.13,0.73,0.25,1.86,5.17,6.16,3.24,4.25,2.92,2.31,2.21,4.33,,,,,,,,,,,,,,,,,,,4.39,2.11,1.66,4.01,4.11,2.23,2.35,3.71,1.41,,
February,1.53,3.58,1.42,1.75,2.12,3.59,4.39,2.29,4.2,5.63,4.26,4.6,5.71,1.38,1.84,1.18,5.09,2.66,2.38,2.62,4.02,4.6,2.7,3.61,5.29,5.05,2.02,1.61,0.99,1.31,0.84,,,,,,,,,,,,,,,,,,,1.63,5.3,4.1,2.92,1.85,4.18,7.54,2.8,1.05,,
March,2.13,3.15,3.58,1.22,3.57,1.92,2.68,2.23,5.7,0.87,1.67,2.48,3.36,3.67,2.15,1.42,3.59,2.21,1.07,2.57,1.67,4.86,3.94,1.38,3.87,1.74,4.21,1.44,1.78,2.32,1.85,,,,,,,,,,,,,,,,,,,4.61,3,0.92,4.31,3.4,4.01,1.08,1.26,2.02,,
April,0.51,,3.48,2.66,1.36,0.84,1.28,3.52,3.45,1.63,1.23,3.89,0.99,0.16,3.55,1.26,2.7,2.93,3.36,1.28,2.64,1.2,3.01,2.34,1.16,4.21,1.36,1.36,1.52,1.84,1.3,1.76,,,,,,,,,,,,,,,,,,3.85,2.99,3.34,0.36,4.15,1.31,2.31,2.02,1.77,,
May,0.84,0.15,4.15,2.05,1.44,5.97,1.57,2.91,4,1.75,4.13,1.12,3.35,1.7,1.22,1.73,0.63,3.2,4.85,1.73,0.95,2.76,1.51,1.47,3.03,2.59,4.16,0.75,2.51,3.73,2.95,2.42,,,,,,,,,,,,,,,,,,2.02,2.39,2.67,1.62,4.07,1.59,1.46,3.35,3.6,,
June,3.53,1.22,3.78,4.69,3.19,0.59,2.1,2.18,0.63,1.12,1.51,2.65,6.13,1.65,0.79,3.89,3.11,2.66,2.48,5.28,1.89,4.55,4.15,3.26,0.56,1.17,0.65,0.64,1.7,1.72,3.71,1.78,,,,,,,,,,,,,,,,,,3.66,1.88,3.39,5.6,2.55,0.39,0.6,1.56,2.46,,
July,1.53,4.89,3.95,0.58,1.68,2.53,3.11,5.19,0.96,1.47,1.21,4.16,4.3,5.93,2.2,3,1.79,4.79,0.47,4.21,4.13,2.68,7.14,2.7,5.99,1.38,3.29,3.93,5.68,4.17,3.28,,,,,,,,,,,,,,,,,,,3.46,5.21,1.25,3.73,0.57,2.52,2.75,4.01,2.19,,
August,3.36,6.07,4.24,2.69,1.44,4.11,3.67,3.31,4.66,0.93,1.48,3.02,3.39,8.67,6.69,2.31,3.87,6.95,3.14,4.58,0.3,4.59,2.45,4.2,1.29,3.68,2.07,2.67,2.76,4.58,3,,,,,,,,,,,,,,,,,,,1.79,7.72,2.84,5.01,1.16,2.7,2.15,2.99,5.29,,
September,0.63,4.71,1.85,2.98,6.58,0.89,5.05,4.01,3.24,6.55,3.66,2.58,4.72,4.01,5.02,5.43,3.84,2.37,3.2,4.77,3.23,2.63,2.21,3.73,3.29,6.97,4.12,3.48,0.62,1.51,2.69,,,,,,,,,,,,,,,,,,,2.05,0.91,1.51,1.89,2.3,1.18,1.01,1.7,2.92,,
October,5.05,3.77,7.22,4.65,5.95,4.38,2.47,4.57,4.51,2.12,7.03,3.65,4.71,5.51,9.33,4.82,4.48,6.27,3.47,1.5,0.77,2.3,5.02,3.72,1.7,4.42,4.43,1.26,2.08,4.81,1.39,,,,,,,,,,,,,,,,,,,9.47,2.76,2.94,3.17,3.08,1.27,3.14,6.49,4.84,,
