"DUMFRIES (CRICHTON ROYAL INST)",,,,,,,,,,,,
Grid ref,NX980746,Long,-3.598293,Lat,55.055378,,,,,,,
Station no,5028,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.62,3.90,1.23,4.01,3.54,3.53,5.21,5.23,1.80,4.48,,
February,3.29,0.57,0.97,4.18,2.00,0.66,4.61,3.95,1.11,5.59,,
March,2.90,2.52,0.48,3.16,2.10,1.56,2.56,1.54,3.08,1.52,,
April,2.34,2.73,2.67,0.89,1.41,0.97,1.83,0.95,3.00,4.35,,
May,2.43,3.43,2.37,4.33,2.57,1.94,3.02,3.88,0.80,1.64,,
June,1.35,2.80,1.70,3.33,2.57,2.59,1.07,3.68,3.21,2.23,,
July,2.54,2.65,5.94,2.95,1.96,5.95,5.11,4.70,2.55,4.24,,
August,5.66,3.93,2.85,4.18,1.71,7.80,3.69,3.75,0.69,3.78,,
September,4.13,1.62,5.17,5.78,2.32,5.10,3.78,5.56,1.52,3.50,,
October,0.25,5.40,3.76,8.15,3.47,2.99,4.79,4.19,4.89,3.32,,
November,8.87,2.13,6.90,9.49,2.71,1.02,2.02,1.63,6.69,7.40,,
December,7.37,3.61,2.65,4.28,5.56,5.01,4.72,3.82,7.25,3.33,,
Total,46.75,35.29,36.69,54.73,31.92,39.12,42.41,42.88,36.59,45.38,,
Calc annual,46.75,35.29,36.69,54.73,31.92,39.12,42.41,42.88,36.59,45.38,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
