SHIRBURN CASTLE (OBSERVATORY),,,,,,,,,,,,,,,,,
Grid ref,SU696959,Long,-0.995,Lat,51.657,Elevation,353,ft,,,,,,,,,
Station no,RR372,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795
January,,1.12,1.66,2.07,1.59,1.6,1.62,2.85,0.32,0.79,2.46,1.48,3.17,3.23,2.42,0.53,0.66
February,,0.63,1.75,0.62,3.16,0.65,1.02,0.59,1.96,2.58,1.9,0.2,1.52,0.57,1.28,1.06,1.93
March,,1.11,0.08,2.73,1.33,1.97,0.25,1.21,2.75,0.91,1.69,0.43,0.8,1.92,1.73,1.36,2.55
April,,2.19,1.14,2.56,0.57,3.23,0.28,0.82,0.87,0.5,1.24,2.02,1.48,3.2,2.04,2.2,
May,,1.37,1.56,3.77,2.35,2.3,0.76,2.31,1.6,0.48,2.43,2.87,0.91,2.06,1.82,2.23,
June,,1.44,3.36,1.35,2.7,2.45,1.61,1.21,1.13,2.78,4.66,1.24,0.59,2.95,0.65,0.65,
July,,2.08,1.78,5.13,2.33,2.51,1.4,0.49,5.65,0.92,4.13,2.36,2.76,3.15,2.52,2.84,
August,,1.19,1.39,4.38,2.05,2.4,2.33,1.66,1.17,4,1.19,2.35,1.42,3.52,1.7,1.98,
September,,2.92,2.67,2.51,2.74,2,4.63,2.99,1.49,2.38,2.89,0.7,0.7,4,4.61,2.86,
October,2.76,2.86,0.32,1.18,0.64,0.34,2.54,3.83,2.57,0.2,3.48,0.65,3.15,3.83,0.97,3.33,
November,2.06,2.4,2.95,1.46,1.56,2.73,1.89,2.12,1.56,0.59,1.43,3.73,4.45,0.93,1.8,5.09,
December,4.67,0.07,1.87,0.74,0.94,1.8,1.91,2.1,2.81,0.37,1.53,2.69,2.15,1.48,1.98,2.19,
Total,,19.38,20.53,28.5,21.96,23.98,20.24,22.18,23.88,16.5,29.03,20.72,23.1,30.84,23.52,26.32,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
April to October 1795 removed as 'doubtful',,,,,,,,,,,,,,,,,
Jan 1792 could be 2.73 according to sheet,,,,,,,,,,,,,,,,,
