"GALASHIELS (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,NT513351,Long,-2.774573,Lat,55.607057,,,,,,,
Station no,5064/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.28,2.12,1.76,3.84,,
February,,,,,,,3.10,2.60,0.58,2.82,,
March,,,,,,,1.50,1.69,1.00,1.90,,
April,,,,,,,0.61,1.80,2.14,1.48,,
May,,,,,,0.66,1.85,2.01,0.43,1.92,,
June,,,,,,2.46,1.09,2.86,2.71,0.89,,
July,,,,,,4.32,3.51,4.80,1.75,2.43,,
August,,,,,,8.11,3.84,2.09,0.55,3.66,,
September,,,,,,2.46,1.34,2.58,0.65,1.05,,
October,,,,,,1.76,2.08,1.71,2.35,3.40,,
November,,,,,,0.73,1.15,0.66,4.88,2.64,,
December,,,,,,2.59,2.37,4.39,2.73,2.63,,
Total,,,,,,,25.72,29.31,21.53,28.66,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.09,25.72,29.31,21.53,28.66,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
