LAUDER (THE ROAN).,,,,,,,,,,,,,,,,,,,,
Grid ref,NT551438,Long,-2.715686,Lat,55.685588,Elevation,550,ft,,,,,,,,,,,,
Station no,5058/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,7.15,2.08,1.81,3.99,2.54,0.75,,,,,,,
February,,,,,,,,2.04,1.34,3.04,2.51,0.46,1.1,,,,,,,
March,,,,,,,,0.86,1.54,2.15,2.54,1.22,0.36,,,,,,,
April,,,,,,,,2.12,1.46,2.27,2.44,1.31,2.73,,,,,,,
May,,,,,,,,2.43,1.52,1.07,2.64,1.81,1.73,,,,,,,
June,,,,,,,,3.71,1.01,1.53,1.08,2.07,1.34,,,,,,,
July,,,,,,,,1.41,2.2,3.26,2.7,1.68,4.12,,,,,,,
August,,,,,,,,7.34,2.11,2.87,3.4,3.48,2.97,,,,,,,
September,,,,,,,1.43,2.35,1.02,4.16,1.4,2.06,3.61,,,,,,,
October,,,,,,,0.81,2.69,5.26,1.67,0.34,3.28,1.47,,,,,,,
November,,,,,,,2.55,1.57,3,4.38,6.56,3.55,2.76,,,,,,,
December,,,,,,,1.65,3.58,3.21,2.04,2.14,4.79,1.94,,,,,,,
Total,,,,,,,,37.25,25.75,30.25,31.74,28.25,24.88,,,,,,,
