"BANBRIDGE CORBET RESERVOIR",,,,,,,,,,,,
Grid ref,IJ1788344443,Long,-6.188224,Lat,54.335203,,,,,,,
Station no,RR2836,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.55,2.80,2.20,3.65,2.75,1.55,2.44,0.82,1.90,1.55,,
February,1.85,1.35,2.05,1.75,3.05,1.03,1.94,1.26,1.33,1.26,,
March,0.70,1.80,1.47,4.82,1.58,3.05,1.28,2.40,3.73,2.23,,
April,1.65,2.00,2.34,1.07,1.27,2.03,1.80,2.65,2.13,2.83,,
May,2.15,1.70,3.95,2.08,2.15,1.02,3.09,2.91,2.00,1.14,,
June,2.67,1.90,2.60,1.20,1.65,2.30,0.90,4.00,1.92,1.85,,
July,3.48,1.09,3.40,5.10,2.37,1.09,1.57,1.94,2.80,3.53,,
August,4.83,4.10,2.29,4.16,4.70,5.70,3.15,2.38,2.30,2.00,,
September,1.45,2.89,3.50,3.40,2.15,1.08,0.50,1.05,4.03,2.25,,
October,4.05,2.47,1.50,4.32,0.73,0.98,5.13,4.50,2.33,4.75,,
November,4.55,3.65,3.54,1.63,1.87,2.84,1.97,2.47,2.13,0.85,,
December,3.38,2.70,2.18,2.35,1.77,1.59,2.55,1.70,2.78,2.78,,
Total,32.31,28.45,31.02,35.53,26.04,24.26,26.32,28.08,29.38,27.02,,
Calc annual,32.31,28.45,31.02,35.53,26.04,24.26,26.32,28.08,29.38,27.02,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
