CASTLEWELLAN CORBETT RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ1788344443,Long,-6.188224,Lat,54.335203,Elevation,234,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,5.7,2.6,1.7,0.7,0.1,2.1,5.1,3.4,2.1,2.2,2.3,1.6,1.9,2.2,0.76,0.65,,2.6,1.75,1.4,2.2,1.15,2.73,1.55,2.8,2.2,3.65,2.75,1.55,2.44,0.82,1.9,1.55,1.55,0.68,3.16,3.58,0.9,,1.73,,,
February,,,,,,,,1.7,2.1,0.9,2.5,1.6,3.1,2.4,3.3,3.5,1.9,1.5,0.2,0.8,0.8,0,0.2,,2.35,0.3,1.4,1.25,1.65,3,1.85,1.35,2.05,1.75,3.05,1.03,1.94,1.26,1.33,1.26,3.51,2.37,3.08,0.86,3.16,,2.37,,,
March,,,,,,,,2.4,0.7,1.6,1.9,2.3,2.5,0.7,2.7,2.1,2.5,1.1,2.5,1.5,1.5,0.27,0.5,,0.8,1.95,2.65,4.35,0.65,1.4,0.7,1.8,1.47,4.82,1.58,3.05,1.28,2.4,3.73,2.23,1.33,1.05,2.89,2.33,3,,1.38,,,
April,,,,,,,,3.6,1.5,1.4,4.5,1.6,3.5,1.4,2.1,2.7,1.6,1.8,1.8,3.3,0.7,1.85,0.17,,2.1,1.4,0.9,2.35,2.55,2.68,1.65,2,2.34,1.07,1.27,2.03,1.8,2.65,2.13,2.83,2.18,2.33,1.27,2.14,1.31,,3.16,,,
May,,,,,,,,3.7,4.5,4.2,0.6,2.2,2.6,2.5,3.3,2.3,4.8,1.4,2.4,2.6,1.1,1.15,1.54,,1.65,0.15,0.25,0.9,3.35,3.2,2.15,1.7,3.95,2.08,2.15,1.02,3.09,2.91,2,1.14,1.33,1.4,0.82,3.09,1.3,,5.03,,,
June,,,,,,,,2.2,2.8,5.6,3.4,4.2,3.8,1.8,1.4,0.4,1.4,0.5,3.3,0.1,2.1,2.4,0.83,,2.25,1.6,3.06,4.9,2.7,4,2.67,1.9,2.6,1.2,1.65,2.3,0.9,4,1.92,1.85,3.6,2.22,4.8,3,1.04,,2.33,,,
July,,,,,,,,4.2,0.3,6.1,5.2,2.9,3.9,4.1,3.7,1.8,4.1,2.5,5.5,3.8,1.5,1.57,0.75,,3.1,4.6,5.85,1.6,0.4,2.05,3.48,1.09,3.4,5.1,2.37,1.09,1.57,1.94,2.8,3.53,3.7,2.1,3.55,1.38,1.78,,2.75,,,
August,,,,,,,,2.8,3.4,4.9,0.8,5.1,5,3.5,1.6,1.7,2.6,2,2.5,6.4,2.3,4.22,2.7,,1.95,5.3,1.68,3.6,3,1.5,4.83,4.1,2.29,4.16,4.7,5.7,3.15,2.38,2.3,2,3.8,1.26,5.6,0.59,2.46,,2.87,,,
September,,,,,,,,1.9,3.9,4.9,3.4,1.4,4.5,5.8,1.4,6.4,2.3,1.4,0.7,1.3,2.7,1.55,0.95,,0.15,0.45,4.6,1.55,3.65,3.1,1.45,2.89,3.5,3.4,2.15,1.08,0.5,1.05,4.03,2.25,1.14,1.1,0.45,5.1,1.15,,0.95,,,
October,,,,,,,,3.2,2.8,1.2,1.6,3,3.7,2.7,2.1,2.8,5,1.3,1.65,3.7,1.4,3.6,1.4,,4.65,3.3,1.65,1.4,3,1.75,4.05,2.47,1.5,4.32,0.73,0.98,5.13,4.5,2.33,4.75,1.5,3.35,1.7,3.1,0.98,,6.4,,,
November,,,,,,,,3.5,1.3,2.2,2.8,5,5.2,3,2.9,2.4,3.4,1.8,4.6,0.6,5.65,2.65,1.2,,3.4,2.75,0.85,2.8,1.8,1.9,4.55,3.65,3.54,1.63,1.87,2.84,1.97,2.47,2.13,0.85,2.5,3.24,2.23,2.84,3.75,,3.42,,,
December,,,,,,,,2.6,0.3,1.2,1.8,2,3.1,1.6,2.3,1.6,3.7,1.3,2.6,2.2,1.1,3,0.4,,1.9,3.15,3.45,2.95,1.93,3.6,3.38,2.7,2.18,2.35,1.77,1.59,2.55,1.7,2.78,2.78,4.21,4.25,3.34,2.64,6.13,,2.02,,,
Total,,,,,,,,37.5,26.2,35.9,29.2,31.4,43,34.6,30.2,29.8,35.5,18.9,29.35,28.2,23.05,23.02,11.29,,26.9,26.7,27.74,29.85,25.83,30.91,32.31,28.45,31.02,35.53,26.04,24.26,26.32,28.08,29.38,27.02,30.35,25.35,32.89,30.65,26.96,,34.41,,,
