KENYON (NEWCHURCH HOMES),,,,,,,,,,,,,,,,,,,,
Grid ref,SJ648961,Long,-2.5316206,Lat,53.460463,Elevation,97,ft,,,,,,,,,,,,
Station no,2823/1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.19,,,3.38,4.82,4.8,2.13,4.26,2.79,,,
February,,,,,,,,,3.59,,,1.93,2.24,1.54,3.02,5.04,0.67,,,
March,,,,,,,,,1.83,,,4.37,1.01,0.71,1.09,0.69,5.2,,,
April,,,,,,,,,2.48,2.29,,1.65,1.36,2.72,2.4,1.03,2.28,,,
May,,,,,,,,,,1.59,2.22,3.75,2.52,2.13,3.49,1.61,2.84,,,
June,,,,,,,,,,1.14,0.36,0.27,2.91,2.17,4.81,3.27,,,,
July,,,,,,,,,6.28,3.77,2.09,3.94,2.04,2.8,2.3,4.09,,,,
August,,,,,,,,,2.34,1.68,6.01,3.27,4.49,2.94,2.16,4.68,,,,
September,,,,,,,,,0.8,3.35,0.64,2.06,4.53,4.63,2.26,5.65,,,,
October,,,,,,,,7.33,1.97,3.59,4.42,4.77,3.12,3.96,5.68,0.66,,,,
November,,,,,,,,4.67,5.51,6.47,2.54,0.93,2.65,6.34,0.47,5.01,,,,
December,,,,,,,,4.3,3.26,2.99,1.23,3.64,1.77,2.98,2.45,3.1,,,,
Total,,,,,,,,,,,,33.96,33.46,37.72,32.26,39.09,,,,
,,,,,,,,,,,,,,,,,,,,
"1939 May, June, Total estimated",,,,,,,,,,,,,,,,,,,,
1940 Jan-March and total estimated hence removed,,,,,,,,,,,,,,,,,,,,
1941 Jan-April and total estimated hence removed,,,,,,,,,,,,,,,,,,,,
