ELSLACK MOORSIDE FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD937484,Long,-2.097437,Lat,53.931685,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,5.68,4.82,3.38,3.74,6.03,4.82,9.01,4.67,3.49,2.99,3.72,4.57,2.74,9.32,1.12,4.64,2.5,4.86,3.18,,,,,,,
February,,,,,,4.84,5.13,1.13,6.84,1.34,3.77,0.49,5.7,5.7,0.96,6.37,3.18,1.41,5.51,0.51,0.43,3.52,0.24,4.24,,,,,,,
March,,,,,,1.32,3.35,2.93,1.79,5.58,3.58,3.63,3.17,2.38,1.48,0.82,0.97,2.95,2.65,0.56,2.11,0.52,2.84,2.16,,,,,,,
April,,,,,,2.05,2.5,3.59,1.09,2.1,5.39,1.45,3.07,3.49,2.23,2.55,1.68,2.53,1.07,0.83,2.22,2.93,3.56,2.06,,,,,,,
May,,,,,,1.94,3.58,2.04,1.92,1.87,5.28,2.03,1.46,3.12,7.41,4.19,4.92,1.42,1.08,2.05,1.16,2.41,4.14,1.87,,,,,,,
June,,,,,1.93,1.25,1.55,2.47,1.86,1.61,2.3,0.52,2.52,1.2,2.72,0.04,2.9,3.08,6.01,1.34,2.58,6.6,0.8,2.05,,,,,,,
July,,,,,2.67,4.79,2.84,2.3,4.35,2.36,7.32,2.47,5.73,4.26,4.25,1.25,2.88,5.18,1.72,2.74,6.3,4.16,5.02,2.68,,,,,,,
August,,,,,2.98,3.74,3.46,6.84,3.16,4.03,2.85,6.05,5.29,5.65,4.93,4.69,3.72,6.67,7.02,3.92,3.28,4.88,1.69,0.97,,,,,,,
September,,,,,2.47,1.15,2.13,2.72,11.71,2,2.78,2.1,4.77,4.52,4.62,2.72,2.56,5.38,0.94,1.58,2.72,2.56,5,1.66,,,,,,,
October,,,,,2.42,1.53,10.52,6.78,4.21,2.3,3.17,3.26,0.88,6.47,3.76,4.59,4.31,4.62,5.57,4.17,3.57,2.38,6.36,3.56,,,,,,,
November,,,,,6.73,1.78,3.82,4.49,2.51,3.19,3.05,2.64,2.44,6.06,2.49,2,6.71,4.54,5.18,5.18,3.89,6.91,2.95,1.74,,,,,,,
December,,,,,8.24,7.17,3.46,2.28,7.96,5.62,4.4,7.18,4.56,4.12,3.98,3.6,0.98,1.83,1.98,7.91,2.46,2.33,1.83,0.52,,,,,,,
Total,,,,,,37.24,47.16,40.95,51.14,38.03,48.71,40.83,44.26,50.46,41.82,36.54,39.38,42.35,48.05,31.91,35.36,41.7,39.29,26.69,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 May 1924 gauge moved 640 yds NW from Moor Farm (SD939480) to present NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
