ELSLACK MOORSIDE FARM Gauge No 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD937484,Long,-2.097437,Lat,53.931685,Elevation,675,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.15,3.48,4.01,1.41,4.21,4.05,5.81,6.47,1.62,1.62,3.71,5.75,6.21,3.5,4.62,3.88,8.04,2.36,2.69,4.53,7.11,1.22,3.78,3.28,4.38,5.42,3.29,3.42,4.5
February,,0.25,4.43,0.29,6.33,2.05,6.15,2,3.79,2.18,3.69,1.04,2.98,1.68,5.64,6.11,1.44,3.32,3.4,8.21,4.04,0.81,2.44,2.61,2.76,1.62,3.26,7.61,0.39,3.39
March,0.56,2.96,2.27,2.82,1.62,2.31,2.29,1.16,1.71,2.9,3.71,3.52,1.49,0.63,2.02,1.01,5.61,2.51,1.27,2.17,4.02,2.58,1.67,3.05,2.1,1.76,3.31,1.46,1.98,1.47
April,2.99,3.76,2.14,2.49,3.13,1.28,2.93,0.71,1.6,2.85,1.82,1.82,2.7,3.4,3.17,1.21,4.59,2.39,4.49,2.78,2.69,2.91,3.04,0.64,1.44,2.92,0.39,1.25,2.4,2.5
May,2.32,4.18,1.89,3.36,1.26,1.25,2.67,3.88,1.01,1.64,1.96,2.83,3.1,2.4,5.11,1.03,2.35,1.79,2.66,2.25,2.64,1.77,2.01,3.33,3.45,1.79,1.49,7.06,1.03,1.46
June,7.07,0.79,2.12,2.57,3.68,3.3,1.94,4.51,3.5,0.81,0.46,1.3,3.74,2.9,4.24,3.06,2.69,4.54,0.67,2.96,1.41,2.57,2.29,2.87,2.72,3.6,2.59,4.85,3.2,1.39
July,4.29,5.1,2.87,2.28,1.29,4.4,2.31,4.75,6.53,4.27,2.33,4.22,3.12,3.17,2.88,4.44,3.2,1.6,2.93,3.77,2.67,1.48,4.66,4.02,1.07,4.93,4.42,3.31,2.79,6.31
August,4.93,1.71,1.04,3.3,1.69,2.26,2.15,5.89,2.79,1.75,5.21,4.64,5.35,2.39,3.42,9.57,0.29,5.15,3.3,6.21,4.5,5.51,4.88,6.09,1.25,9.78,7.12,4.5,0.9,3.99
September,2.58,5.17,1.62,3.46,7.64,4.2,1.39,1.48,1.1,4.12,0.78,2.53,4.13,5.93,2.67,6.93,3.16,3.55,1.45,7.02,4.2,3.53,3.67,6.14,2.7,4.21,5.19,4.49,0.29,3.15
October,2.46,6.59,3.72,4.38,9.02,3.64,2.16,10.06,2.77,4.1,6.38,5.53,3.07,4.49,7.05,1.06,1.41,2.58,5.15,3.58,1.54,3.55,1.65,8.17,2.56,2.5,5.83,4,4.74,3.1
November,7.2,3.09,1.74,1.69,4.91,4.31,1.93,5.61,7.61,7.02,2.67,1.57,2.58,8.14,0.58,6.22,4.84,3.05,5.35,5.23,7.63,1.51,5.93,6.5,2.26,1.15,1.71,1.46,4.81,8.13
December,2.47,1.96,0.55,5.65,2.96,5.21,1.86,4.73,3.34,3.4,2.6,3.53,2.43,4.76,2.55,3.59,3.44,3.9,7.98,2.6,8.81,3.7,1.78,6.31,5.17,4.66,4.93,4.21,8.68,5.58
Total,,40.71,27.87,36.3,44.94,38.42,31.83,50.59,42.22,36.66,33.23,36.24,40.44,46.1,42.83,48.85,36.9,42.42,41.01,49.47,48.68,37.03,35.24,53.51,30.76,43.3,45.66,47.49,34.63,44.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1931 Jan 2.5, Feb 3.5 and total estimated thus removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Location of site is near Stories Farm, Elslack Reservoir having moved from Moor Farm/Moorside Farm in 1924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
