WATERFOOT COWPE RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD844199,Long,-2.2376236,Lat,53.675332,Elevation,1026,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,7.56,4.25,3.38,3.74,4.42,4.48,8.76,4.29,4.95,4.19,4.7,6.02,4.66,11.88,3.23,6.63,4.9,5.31,3.43,4.02,1.97,5.58,3.97,,,
February,,,,,,7.54,5.67,1.35,6.69,1.37,4.63,0.64,5.92,7.19,1.44,8.42,5.18,2.66,5.32,1.53,0.93,5.5,0.29,3.54,0.44,6.61,2.83,5.94,,,
March,,,,,,1.92,3.13,2.72,2.69,5.46,4.26,4.49,4.39,2.68,2.24,1.89,2.67,5.05,5.2,1.56,3.12,0.75,2.79,3.76,3.75,1.52,3.19,2.65,,,
April,,,,,,2.34,3.45,1.89,1.16,3.57,7.54,1.65,3.4,4.77,2.63,3.53,2.11,3.87,1.68,1.6,4,3.97,4.36,2.18,3.08,3.95,1.3,3.24,,,
May,,,,,,2.27,2.95,2.9,3.46,1.8,6.08,4.1,2.53,4.81,7.12,6.69,4.4,2.6,1.67,3.81,1.87,3.62,5.23,2.67,4.65,1.3,0.65,1.87,,,
June,,,,,,1.01,3.54,2.66,1.86,2.08,4.35,0.41,3.27,1.43,3.21,0.13,3.37,5.25,8.51,1.79,1.86,7.2,1.13,2.73,2.78,4.15,4.04,2.15,,,
July,,,,,,5.55,2.79,2.67,4.79,2.43,9.06,2.24,6.06,4.61,5.69,2.14,3.27,5.58,2.57,3.41,6.72,6.63,5.14,4.12,2.4,1.89,5.08,2.51,,,
August,,,,,,5.06,5.31,8.07,4.36,5.12,3.25,7.54,6.09,7.03,9.47,4.99,5.31,9.34,6.32,5.55,8.39,7.22,1.1,2.03,4.15,1.36,3.24,3.01,,,
September,,,,,,0.89,3.01,2.29,12.69,2.63,2.76,2.13,5.33,5.77,6.42,4.51,4.52,6.58,0.82,2.35,5.86,3.6,5.29,1.99,3.78,8.05,5.17,2.08,,,
October,,,,,,2.66,9.87,10.33,4.87,2.64,1.6,3.9,1.04,7.53,7.05,6.59,4.93,6.02,8.14,7.11,6.11,2.81,8.34,4.95,5.7,7.74,4.69,2.74,,,
November,,,,,,2.18,4.28,4.96,2.98,2.91,1.94,3.6,4.25,7.97,3.46,2.9,8.7,5.42,8.58,9.26,7.34,10.76,3.68,2.12,2.12,5.22,5.5,1.94,,,
December,,,,,,10,3.42,2.35,10.68,8.62,5.31,7.73,6.1,4.91,6.92,3.63,1.78,2.31,4.27,8.73,4.62,2.3,3.43,0.69,7.47,4.41,4.9,4.49,,,
Total,,,,,,48.98,51.67,45.57,59.97,43.05,55.26,47.19,52.67,63.65,59.84,50.12,52.26,59.34,64.96,49.93,57.45,59.26,46.09,34.21,44.34,48.17,46.17,36.59,,,
