"WATERFOOT (COWPE RESERVOIR)",,,,,,,,,,,,
Grid ref,SD843204,Long,-2.239163,Lat,53.679823,,,,,,,
Station no,2911,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.39,6.84,2.36,5.36,5.07,,5.95,5.98,4.59,8.03,,
February,4.78,1.96,3.40,6.51,4.04,,4.84,9.33,0.93,7.32,,
March,6.79,4.07,2.99,5.23,2.44,,5.59,3.27,3.07,1.82,,
April,3.39,5.22,4.64,0.98,3.28,,0.59,2.02,4.22,3.77,,
May,2.35,3.19,3.06,3.74,5.20,,2.34,5.85,1.96,2.51,,
June,1.49,5.29,4.07,4.47,4.57,,2.29,5.29,4.52,1.79,,
July,4.04,2.38,7.18,7.09,1.53,,6.60,4.62,4.82,9.56,,
August,6.55,6.69,6.04,8.45,1.23,,7.32,4.71,0.83,6.42,,
September,4.67,5.02,5.55,6.36,4.71,,7.36,6.74,0.51,4.03,,
October,1.11,6.22,3.07,11.63,3.12,,8.67,5.60,6.73,6.90,,
November,11.14,3.17,6.85,8.85,3.22,,2.82,2.56,6.41,9.68,,
December,10.95,5.30,2.52,9.24,7.72,,5.79,6.27,11.57,7.00,,
Total,63.65,55.35,51.73,77.91,46.13,,60.16,62.24,50.16,68.83,,
Calc annual,63.65,55.35,51.73,77.91,46.13,0.00,60.16,62.24,50.16,68.83,,
Difference,-0.00,0.00,-0.00,0.00,0.00,NaN,0.00,-0.00,-0.00,0.00,,
