WATERFOOT (COWPE RESERVOIR) NEW SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD843204,Long,-2.239163,Lat,53.679823,Elevation,925,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2911/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.03,2.59,6.91,5.36,7.73,8.96,3.09,2.82,9.46,8.33,7.29,4.64,6.87,5.51,13.07,3.76,4.43,6.39,6.84,2.36,5.36,5.07,,5.95,5.98,4.59,8.03
February,,,,0.61,8.48,3.73,7.81,2.94,7.26,3.13,6.95,2.94,4.28,2.73,6.98,6.64,3.72,4.51,4.53,7.3,4.78,1.96,3.4,6.51,4.04,,4.84,9.33,0.93,7.32
March,,,,4.46,2,4.14,3.55,2.05,3.76,3.73,4.94,4.99,1.76,0.91,1.87,1.8,9.23,2.35,2.98,3.58,6.79,4.07,2.99,5.23,2.44,,5.59,3.27,3.07,1.82
April,,,,3.61,5.09,1.7,4.25,1.01,2.79,4.59,3.19,3.03,3.28,4.28,3.08,1.89,4.86,2.64,4.97,4.43,3.39,5.22,4.64,0.98,3.28,,0.59,2.02,4.22,3.77
May,,,,4.69,1.6,0.88,2.6,4.93,2.26,1.24,3.92,4.61,4.33,3.69,5.14,1.58,2.63,2.65,3.74,2.54,2.35,3.19,3.06,3.74,5.2,,2.34,5.85,1.96,2.51
June,,,,3.52,5.13,5,2.93,5.8,4.57,1.03,0.64,1.12,4.86,3.61,6.32,4.86,3.47,6.35,0.69,3.03,1.49,5.29,4.07,4.47,4.57,,2.29,5.29,4.52,1.79
July,,,,3.12,2.42,6.03,3.32,5.97,9.36,4.79,4.93,6.34,3.82,4.56,4.03,4.51,4.36,3.47,2.34,7.18,4.04,2.38,7.18,7.09,1.53,,6.6,4.62,4.82,9.56
August,,,,5.1,2.43,4.17,3.78,4.95,3.68,3,9.02,6.49,8.8,3.92,4.38,9.24,0.27,6.21,4.9,8.36,6.55,6.69,6.04,8.45,1.23,,7.32,4.71,0.83,6.42
September,,,,4.97,10.47,6.5,2.64,2.94,1.86,6.02,1.2,3.5,6.42,7.5,3.74,9.66,4.07,4.25,2.35,10.3,4.67,5.02,5.55,6.36,4.71,,7.36,6.74,0.51,4.03
October,,,,8,11.04,6.46,3.19,14.64,3.3,6.61,6.19,8.09,4.11,7.08,7.57,1.76,1.23,3.58,6.83,3.52,1.11,6.22,3.07,11.63,3.12,,8.67,5.6,6.73,6.9
November,,,,3.08,6.77,7.17,2.33,9.07,9.16,10.52,4.04,1.47,4.2,9.95,0.68,10.29,7.75,2.82,8.38,7.51,11.14,3.17,6.85,8.85,3.22,,2.82,2.56,6.41,9.68
December,,,,9.08,5.82,7.3,5.45,7.43,4.88,6.13,3.51,5.55,3.27,6.7,4.57,5.46,4.71,5.62,9.13,3.09,10.95,5.3,2.52,9.24,7.72,,5.79,6.27,11.57,7
Total,,,,55.27,63.84,59.99,47.21,69.46,61.84,53.88,51.35,57.59,57.46,62.22,53,64.56,51.81,57.52,54.6,65.27,63.65,55.35,51.73,77.91,46.13,,60.16,62.24,50.16,68.83
