EDMONDBYERS (FELDON BURN),,,,,,,,,,
Grid ref,NY999461,Long,-2.00308,Lat,54.809764,Elevation,1230,ft,,
Station no,"""3553/8/2""",,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.58,3.58,3.47,3.9,3.25,3.32,3.3,5.44
February,,,1.75,2.83,3.04,4.27,3.23,4.55,0.36,3.12
March,,,0.23,1.65,2.76,1.73,1.8,3.11,1.15,3.4
April,,,3.37,0.85,0.6,1.28,0.5,1.82,2.95,1.55
May,,,3.22,5.2,2.22,0.78,1.5,4.09,0.76,2.29
June,,1.42,4.35,2.47,1.81,3.71,1.04,4.17,1.89,0.63
July,,1.42,1.83,1.87,1.35,3.32,4.15,3.59,1.2,5.4
August,,3.8,4.64,8.47,1.18,9.66,4.99,3.8,0.8,3.7
September,,5.05,2.98,3.4,1.25,4.31,3.91,3,1.25,3.5
October,,4.95,1.92,5.42,2.32,2.23,2.42,2.25,2.35,12
November,,3.97,2.67,6.27,2.11,1.04,2.77,0.5,6.55,4.31
December,,2.95,1.4,4.35,4.42,4.11,3.85,5.6,6.7,3.3
Total,,,28.94,46.36,26.53,40.34,33.41,39.8,29.26,48.64
,,,,,,,,,,
1841,FELDON BURN,NZ0003746149,01/01/1952,Current,,,,,,
