GLASGOW OSO,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 57071 67404,Long,-4.286276,Lat,55.87852,Elevation,166,ft,,,,,,,,,,,,
Station no,RR2873,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,2.09,1.7,2.37,3.06,3.42,2.05,3.68,,,,,,,
February,,,,,,,3.01,0.92,0.81,3.93,2.5,2.27,0.94,,,,,,,
March,,,,,,,0.06,1.58,1.24,3.72,2.84,3.9,,,,,,,,
April,,,,,,,1.36,1.53,1.73,2.98,0.8,0.39,,,,,,,,
May,,,,,,,2.93,1.36,2.91,0.31,1.57,0.68,,,,,,,,
June,,,,,,,3.48,2.87,3.23,1.15,3.85,2.02,,,,,,,,
July,,,,,,,1.89,1.28,4.44,2.02,1.49,3.66,,,,,,,,
August,,,,,,,3.48,1.12,1.63,1.93,3.34,5.43,,,,,,,,
September,,,,,,,2.96,2.31,2.3,3.46,1.01,3.89,,,,,,,,
October,,,,,,,1.25,1.73,3.85,3.14,3.38,3.04,,,,,,,,
November,,,,,,0.74,1.41,2.34,1.41,2,1.23,3.84,,,,,,,,
December,,,,,,1.96,3.91,2.87,2.27,2.11,3.44,2.03,,,,,,,,
Total,,,,,,,27.83,21.61,28.19,29.81,28.87,33.2,,,,,,,,
