WALLSEND CARVILLE SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ296659,Long,-1.5389685,Lat,54.98682,Elevation,90,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.39,0.97,,1.47,3.89,1.38,3.65,2.17,3.13,2.45,1.03,1.23,1.25,2.25,2.99,2.41,2.09,4.4,,,3.4,,,3.96,,,,,
February,,,2.08,3.06,,2.44,3.07,0.7,1.27,0.94,1.19,1.3,1.15,3.36,0.45,2.29,,3.46,0.85,1,,5.52,2.25,,,1.32,,,,,
March,,0.47,1.72,1.15,,1.6,0.69,1.61,2.13,0.49,1.89,1.03,2.36,1.09,2.93,0.64,,2.91,0.32,2.94,,1.82,0.98,,,0.38,,,,,
April,,1.79,1.64,1.7,,2.97,0.76,1.99,3.46,1.71,1.59,2.94,0.82,1.03,4.84,2.66,1.19,2.52,0.08,0.75,1.11,1.18,0.97,,,,,,,,
May,,1.05,0.91,1.96,,2.62,2.34,1.9,2.79,1.08,1.15,2.77,3.51,1.32,0.99,1.16,,2.43,3.56,1.54,0.82,1.72,1.25,,,,,,,,
June,,0.71,0.78,0.65,,0.01,2.87,3.72,3.97,1.51,0.77,2.7,0.9,2.15,1.66,2.37,2.61,2.11,2.89,2.67,1.66,1.19,1.17,,,,,,,,
July,,1.42,3.46,1.44,,1.56,2.23,4.31,0.62,2.28,3.71,3.84,2.52,1.86,1.83,0.4,2.03,2.85,1.77,2.13,7.58,1.29,2.51,,,,,,,,
August,,7.05,1.69,2,,2.57,0.97,5.94,3.11,2.5,4.91,3.17,2.01,1.29,2.29,1.69,3.35,,1.41,0.83,,2.61,1.98,,,3.25,,,,,
September,,1.09,3.21,1.4,,2.78,1.45,3.97,0.98,0.77,2.58,2.93,2.32,1.5,1,3.73,2.4,,2.55,,,0.55,2.89,,,1.63,,,,,
October,,1.88,1.56,1.1,,1.64,2.62,0.61,2.57,1.78,1.45,1.21,3.95,3.47,3.13,3.45,1.16,1.36,3.26,,,4.49,1.82,,,2.45,,,,,
November,,,0.68,3.34,,2.25,2.95,2.98,2.93,2.32,2.9,2.17,0.56,3.31,2.66,3.76,3.19,,2.05,,,3.08,0.83,,,1.08,,,,,
December,,1.09,2.99,,,4.21,0.67,4.26,1.42,3.2,2.53,0.75,0.6,1.36,3.03,1.88,1.26,7.98,2.93,1.47,,0.34,1.97,,,1.36,,,,,
Total,,,23.11,,,26.12,24.51,33.37,28.9,20.75,27.8,27.26,21.73,22.97,26.06,26.28,,,23.76,,,,22.02,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Dec 2.15 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1936 Feb 3.09, Mar 1.87, June 2.01 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1937  Aug 2.09 Sept 1.39, Nov 1.56, and total ""corrected by surrounded stations"" therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1939 Sep 1,Oct 4.5, Nov 3 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1940 Jan 1.78, Feb 1.8, Mar 2.0, Aug 1.1 and Sept 1.7 estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Jan 3.5 and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1945 Aug 3.25, Dec 1.36 estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
