DUNSINNAN,,,,,,,,,,,,,,,,,,,,
Grid ref,NO167328,Long,-3.354043,Lat,56.479917,Elevation,380,ft,,,,,,,,,,,,
Station no,RR6154,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,2.2,1.52,4.19,2.5,0.55,3.34,1.38,2.3,2.36,2.23,0.88,3.36,6.55,2.27,2.04,2.76,1.35,2.48,
February,,2.55,1.41,4.29,3.2,1.5,1.37,1.46,1.36,1.83,2.36,2.14,2.82,1.51,6.63,5.29,4,0.88,2.67,
March,,1.2,0.94,4.12,3.1,2.89,1.46,2.33,3.75,2.12,2.38,1.58,3.02,5.54,3.8,1.35,2.78,3.1,0.88,
April,,1.22,1.5,1.45,2.4,1.83,0.75,1.27,1.5,4.79,3.43,1.24,0.19,2.31,1.1,1.4,2.1,1.53,0.85,
May,,2.02,1.85,1.35,2.28,1.88,4.85,2.65,1.25,3.52,1.45,1.4,1.4,4.98,1.95,0.84,3.3,2.68,3.29,
June,,1.65,0.2,1.73,1.5,0.8,2.25,4.1,2.09,1.05,1.65,0.6,3.82,1.7,0.41,1.66,2.74,2.6,0.49,
July,,1.2,2.3,5.13,1.2,1.83,1.38,2.3,2.32,3.21,4.63,1.71,2.03,0.81,1.68,3.04,7.67,1.12,6.62,
August,,4.05,1.32,4.45,4.14,3.2,4.1,3.83,3.1,1.8,8.6,1.47,4.16,1.17,2.5,5.26,2.55,5.59,2.95,
September,,2.35,0.14,2.12,3.2,1.72,,2.64,4.68,1.51,0.95,1.22,2.82,1.94,0.66,2.06,1.43,1.15,3.57,
October,,2.71,1.29,5.88,1.18,1.65,,5.06,3.05,3.4,2.1,1.74,4.11,2.19,3.12,4.23,5.57,2.75,2.97,
November,,2.1,5.2,2.2,0.75,4.75,3.44,2.06,2.42,1.25,3.2,3.74,1.86,2.11,4.9,2.27,4.98,3.8,1.98,
December,,3.25,5.55,2.17,5.05,2.41,1.8,4.47,1.27,3.24,4.1,5.28,5.48,1.15,2.55,2.09,3.9,1.84,1.65,
Total,,26.5,23.22,39.08,30.5,25.01,,33.55,29.09,30.08,37.08,23,35.07,31.96,31.57,31.53,43.78,28.39,30.4,
,,,,,,,,,,,,,,,,,,,,
1902 Jun Sep ? ,,,,,,,,,,,,,,,,,,,,
1906 T deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR6154,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
