DUNSINNAN,,,,,,,,,,,,
Grid ref,NO167328,Long,-3.354043,Lat,56.479917,,,,,,,
Station no,RR6154,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.20,1.52,4.19,2.50,0.55,3.34,1.38,2.30,2.36,,
February,,2.55,1.41,4.29,3.20,1.50,1.37,1.46,1.36,1.83,,
March,,1.20,0.94,4.12,3.10,2.89,1.46,2.33,3.75,2.12,,
April,,1.22,1.50,1.45,2.40,1.83,0.75,1.27,1.50,4.79,,
May,,2.02,1.85,1.35,2.28,1.88,4.85,2.65,1.25,3.52,,
June,,1.65,0.20,1.73,1.50,0.80,2.25,4.10,2.09,1.05,,
July,,1.20,2.30,5.13,1.20,1.83,1.38,2.30,2.32,3.21,,
August,,4.05,1.32,4.45,4.14,3.20,4.10,3.83,3.10,1.80,,
September,,2.35,0.14,2.12,3.20,1.72,,2.64,4.68,1.51,,
October,,2.71,1.29,5.88,1.18,1.65,,5.06,3.05,3.40,,
November,,2.10,5.20,2.20,0.75,4.75,3.44,2.06,2.42,1.25,,
December,,3.25,5.55,2.17,5.05,2.41,1.80,4.47,1.27,3.24,,
Total,,26.50,23.22,39.08,30.50,25.01,31.54,33.55,29.09,30.08,,
Calc annual,0.00,26.50,23.22,39.08,30.50,25.01,24.74,33.55,29.09,30.08,,
Difference,NaN,-0.00,0.00,-0.00,0.00,0.00,6.80,0.00,0.00,0.00,,
