PEATLING-MAGNA-PEATLING-HOUSE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP593927,Long,-1.1273123,Lat,52.528952,Elevation,354,ft,,,,,,,,,,,,,
Station no,2497,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.09,1.21,2.67,2.28,3.71,1.11,3.05,1.36,1.14,1.38,1.63,,,,,,
February,,,,,0.42,2.45,2.9,2.05,1.55,0.3,0.59,2.45,0.26,2.15,,,,,,,
March,,,,,0.79,0.74,0.48,1.89,1.45,0.09,1.81,0.04,1.41,2.65,,,,,,,
April,,,,,2.25,1.54,1.64,1.83,1.16,1.28,2.59,3.64,2.38,0.99,,,,,,,
May,,,,,4.15,3.68,2.91,0.6,0.98,1.79,2.66,2.44,4.88,1.29,,,,,,,
June,,,,,2.31,0.04,1.72,3.5,2.57,1.08,0.98,1.87,0.63,2.06,,,,,,,
July,,,,,3.58,1.58,1.67,2.08,1.21,1.84,3.81,3.05,3.65,1.71,,,,,,,
August,,,,,2.19,1.33,1.87,2.99,2.39,1.76,2.57,3.46,1.59,0.93,,,,,,,
September,,,,,2.45,2.71,2.29,3.8,0.59,0.88,3.19,2.38,2.89,1.29,,,,,,,
October,,,,,3.6,2.78,1.83,1.58,3.34,2.87,1.62,0.54,2.7,2.36,,,,,,,
November,,,,,2.32,1.58,3.45,3.22,2.84,5.17,2.36,2.25,1.81,1.4,,,,,,,
December,,,,,2.25,1.42,0.57,2.21,1.83,4.53,2.08,0.67,0.67,0.21,,,,,,,
Total,,,,,28.4,21.06,24,28.03,23.62,22.7,27.31,24.15,24.01,18.42,,,,,,,
