TAFF FECHAN PENTWYN RESERVOIR (monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO056145,Long,-3.371022,Lat,51.821122,Elevation,1120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.15,2.67,12.36,5.62,3.6,3.83,8.66,6.28,2.58,3.38,4.2,11.69,7.45,5.32,3.62,10.4,10.15,2.17,9.96,4.16,5.32,3.46,8.22,2.33,7.72,10.33,5.47,7.18,7.36,2.75,6.17,9.26,11.47,9.9,7.16,5.49,8.03,8.44,10.39,7.7,14.56,2.86,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,0.94,3.59,1.46,0.69,3.73,10.5,9.21,0.36,1.74,6.26,4.27,7.81,8.37,2.28,2.98,6.83,9.53,3.06,5.14,3.62,3.74,1.34,9.46,7.64,5.51,3.94,10.24,11.65,9.5,1.62,6.38,4.75,4.49,0.28,9.98,16.1,0.91,12.54,6.18,6.05,8.25,1.65,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,6.94,3.3,4.41,2.94,1.72,0.81,6.06,6.41,7.4,10.48,2.3,2.96,1.6,5.86,3.76,11.18,3.7,9.27,4.75,3.44,6.66,6.49,2.36,2.78,12.18,11.56,10.07,1.92,3.45,4.52,3.85,7.45,8.32,7.76,6.54,2.26,3.36,1.48,2.1,7.22,6.95,1.2,4.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.22,4.49,1.73,5,2.01,0.2,3.61,3.7,1.52,5.83,4.55,7.59,3.15,6.52,3.59,3.07,4.51,7.18,1.6,6.47,4.04,4.78,4.88,4.2,0.62,10.45,2.55,2.56,3.86,2.7,3.15,3.14,11.05,1.42,4.83,5.4,6.35,5.28,4.04,2.54,2.1,1.12,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.24,4.44,3.2,6,2.9,4.81,3.77,0.61,0.1,3.23,5.35,3.98,4.24,1.39,3.15,5.82,4.04,0.43,5.07,4.2,4.95,2.52,3.04,2.4,3.14,4.51,3.89,3.96,4.13,4.76,2.56,1.33,4.93,2.58,1.7,3.85,5.68,8.34,3.93,2.55,1.03,6.44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.1,0.37,3.24,3.58,3.65,2.66,3.4,1.05,3.41,3.21,3.49,1.75,4.69,3.62,3.9,2.76,2.3,4.52,3.17,7.33,1.69,4.3,5.49,6.23,6.85,3.26,3.41,1.53,3.99,4.12,1.64,2.86,2.89,0.5,2.16,1.35,3.39,0,2.95,5.68,6.16,4.41,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,8.16,4.6,3.45,3.7,3.15,5.37,5.65,9.14,3.19,3.4,1.56,1.9,2.36,2.58,2.64,4.02,4.16,1.95,2.17,4.38,6.33,4.99,5.29,0.65,5.64,1.08,6.63,7.95,2.32,4.14,7,2.04,9.05,4.39,7.81,4.57,7.7,3.26,3.63,5.99,4.32,4.92,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,5.13,5.62,5.64,11.4,6.72,4.21,4.73,7.98,3.56,8.36,7.18,2.12,5.93,4.64,3.95,9.35,5.17,7.44,4.68,7.15,8.94,2.6,10.27,3.78,13.76,3.25,5.4,3.68,5.57,14,3.12,4.69,2.91,6.99,5.19,5.56,8.17,5.93,6.97,10.95,5.63,4.88,7.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.97,2.33,2.95,5.39,5.4,3.16,2.48,2.1,10.21,6.85,1.8,4.67,3,4.31,3.89,6.58,3.46,3.61,2.05,1.56,3.91,5.2,0.68,4.41,1.75,3.63,3.21,1.34,3.31,3.91,12.27,3.83,6.11,3.72,4.97,5.96,10.72,5.22,3.12,10.14,2.54,2.53,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,3.07,4.62,4.18,13.48,5.6,6.29,8.62,4.34,6.91,4.18,8.69,6.24,9.09,3.8,5.39,15.62,3.68,3.77,9.58,10.29,5.16,13.43,6.02,6.1,7.98,7.53,4.43,5.72,15.13,9.31,5.3,2.95,6.21,2.54,2.02,12,9.2,9.61,6.41,7.78,13.21,9.79,9.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,12.47,3.25,8.24,6,4.85,4.2,10.04,11.69,2.15,6.25,6.39,5.68,7.33,3.61,6.42,3.98,4.12,6.26,6.89,4.36,4.02,2.96,7.27,10.44,4.8,9.73,8.57,5.31,7.33,4.66,5.96,4.68,4.16,5.32,3.06,5.32,5.95,3.74,15.17,6.88,12.38,18.41,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,8.59,4.15,1.34,12.31,3.48,9.27,6.15,6.54,12.31,14.51,11.23,5.04,12.62,10.02,6.5,6.46,6.19,2.56,4.55,9.55,6.49,13.5,13.13,16.36,10.9,4.18,13.4,15.17,5.58,2.04,12.27,13.21,10.06,7.12,8.91,5.96,10.77,6.42,0.68,4.24,6.74,18.37,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
