"TAFF FECHAN PENTWYN RESERVOIR",,,,,,,,,,,,
Grid ref,SO056145,Long,-3.371022,Lat,51.821122,,,,,,,
Station no,4152,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.44,5.41,3.60,10.40,10.15,2.21,9.93,4.20,5.40,3.47,,
February,8.68,2.38,2.97,6.88,9.58,3.06,5.36,3.75,4.00,1.41,,
March,1.76,5.98,3.76,11.15,3.82,9.27,4.71,3.37,6.79,6.70,,
April,3.13,6.55,3.55,3.09,4.44,7.15,1.59,6.39,4.14,4.84,,
May,4.26,1.41,3.06,5.78,3.95,0.43,4.98,4.17,5.00,2.59,,
June,4.66,3.60,3.87,2.76,2.28,4.29,3.19,7.25,1.70,4.33,,
July,2.34,2.60,2.64,4.02,4.17,1.88,2.19,4.33,6.37,5.06,,
August,5.94,4.61,3.92,9.29,5.21,7.46,4.69,7.13,9.01,2.61,,
September,2.96,4.32,3.85,6.59,3.46,3.59,2.06,1.58,3.95,5.24,,
October,9.05,3.82,5.38,15.68,3.69,3.79,9.55,10.28,5.18,13.58,,
November,7.30,3.60,6.39,4.05,4.16,6.30,6.90,4.35,4.02,3.14,,
December,12.57,10.22,6.56,6.46,6.18,2.58,4.64,9.57,6.61,13.80,,
Total,70.09,54.50,49.55,86.15,61.09,52.01,59.79,66.37,62.17,66.77,,
Calc annual,70.09,54.50,49.55,86.15,61.09,52.01,59.79,66.37,62.17,66.77,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
