TAFF FECHAN PENTWYN RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO056145,Long,-3.371022,Lat,51.821122,Elevation,1120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.1,2.61,12.74,5.68,3.7,3.85,8.59,6.3,2.55,3.41,4.15,11.66,7.44,5.41,3.6,10.4,10.15,2.21,9.93,4.2,5.4,3.47,8.58,2.4,7.77,10.48,5.32,7.39,7.45,2.93,6.53,9.32,11.64,9.92,7.31,5.46,8.23,8.39,10.56,8.21,14.56,2.89,12.96,5.55,13.5,7.06,9.87,1.89,9.57,12.91,11.09,11.78,4.39,4.93,7.65,12.77,8.84,5.75,11.05,6.84,17.04,3.29,3.15,9.17,7.51,2.38,4.35,6.41,9.79,10.11,6.97,9.81,9.17,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.18,3.67,1.89,0.7,3.59,10.44,9.23,0.47,1.75,6.24,4.33,7.75,8.68,2.38,2.97,6.88,9.58,3.06,5.36,3.75,4,1.41,9.52,7.57,5.63,3.98,10.13,11.65,10.06,1.63,6.3,4.96,4.49,0.3,9.92,16.12,0.97,12.51,6.22,6.13,8.2,1.66,0.84,5.49,0.23,6.91,0.78,7.91,4.02,10.34,3.15,7.17,6.06,8.07,0.95,6.46,2.25,10.33,8.18,1.68,4.97,4.08,13.48,8.65,1.68,3.51,6.59,3.12,0.89,8.85,10.06,0.66,8.57,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,7.26,3.53,4.4,3.01,1.74,0.8,6.05,6.3,7.47,10.51,2.33,2.94,1.76,5.98,3.76,11.15,3.82,9.27,4.71,3.37,6.79,6.7,2.4,2.87,12.19,11.54,10.14,2.03,4.01,4.89,3.92,7.74,8.36,7.83,6.96,2.32,3.45,1.58,2.16,7.26,6.93,1.19,4.77,1.44,4.33,6.18,5.65,2.34,5.07,4.95,1.15,3.4,5.89,5.39,5.62,1.85,0.63,3.72,2.69,13.94,4.68,3.45,4.74,8.01,5.04,5.67,5.66,4.08,3.62,8.45,2.14,7.85,3.62,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,3.26,4.69,1.68,4.98,1.86,0.19,3.55,3.66,1.52,5.83,4.58,7.63,3.13,6.55,3.55,3.09,4.44,7.15,1.59,6.39,4.14,4.84,4.91,4.22,0.72,10.57,2.57,2.6,3.9,2.92,3.25,3.25,11.09,1.48,5.2,5.36,6.34,5.33,4.08,2.58,2.17,1.12,5.58,5.39,6.6,2.14,4.92,9.04,4.08,5.1,0.34,5.28,6.01,1.92,3.63,2.45,4.36,4.02,2.66,6.47,4.63,6.96,5.71,6.74,5.5,5.06,1.9,3.45,2.68,0.43,2.07,7.96,6.21,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.41,4.48,3.14,5.89,2.75,4.74,3.68,0.56,0.11,3.23,5.29,3.97,4.26,1.41,3.06,5.78,3.95,0.43,4.98,4.17,5,2.59,3.13,2.44,3.15,4.56,3.98,3.97,4.16,4.82,2.54,1.37,4.96,2.64,1.7,3.88,5.71,8.38,3.96,2.56,1.06,6.44,2.98,5.21,8.19,2.27,4.47,2.16,1.74,2.55,4.83,1.05,2.45,4.43,8.41,6.79,4.4,6.37,4.61,3.48,4.9,5.52,3.3,4.14,8.6,4.65,4.79,7.43,1.74,3.44,6.15,2.85,2.18,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,4.2,0.45,3.16,3.57,3.58,2.59,3.29,1.05,3.25,3.17,3.47,1.72,4.66,3.6,3.87,2.76,2.28,4.29,3.19,7.25,1.7,4.33,5.57,6.16,6.88,3.29,3.48,1.55,4.02,4.15,1.69,2.89,4.71,0.53,2.15,1.36,3.33,0.02,2.94,5.7,6.12,4.45,3.03,6.93,2.57,4.1,2.06,7.65,4.09,2.56,4.7,5.33,0.96,2.83,0.21,7.43,4.7,6.87,8.05,4.46,7.62,1.13,3.82,2.06,5.4,2.35,7.81,9,3.77,1.26,4.49,2.16,4.21,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,2.83,8.2,4.68,3.43,3.57,2.93,5.29,5.58,9.52,3.17,3.4,1.54,1.91,2.34,2.6,2.64,4.02,4.17,1.88,2.19,4.33,6.37,5.06,5.26,0.71,5.64,1.14,6.63,7.96,2.3,4.12,6.94,2.09,8.99,4.38,7.78,4.54,7.78,3.25,3.63,5.92,4.28,4.87,6.15,6.07,6.97,5.85,2.02,1.36,11.19,5.53,5.3,16.45,5.36,4.82,5.36,4.51,4.63,5.32,3.78,4.76,2.89,1.91,7.69,2.47,3.22,9.26,6.16,0.82,7.37,7.14,5.22,6.48,8.19,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.83,5.55,5.52,5.45,11.34,6.68,4.19,4.69,7.82,3.53,8.33,7.18,2.09,5.94,4.61,3.92,9.29,5.21,7.46,4.69,7.13,9.01,2.61,10.25,3.75,13.77,3.26,5.36,3.73,5.54,14.89,3.11,4.66,2.92,7,5.14,5.58,8.12,5.95,6.99,10.91,5.57,4.77,7.42,5.86,1.24,1.61,6.1,2.41,1.62,1.93,4.64,4.2,0.84,8.87,7.08,7.45,6.79,5.17,11.28,0.62,6.92,3.8,11.47,10.29,10.22,6.97,8.04,2.14,7.86,5.6,6.08,1.78,5.59,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,6.14,1.83,2.22,2.81,5.12,5.24,3.11,2.42,2.08,10.24,6.87,1.79,4.6,2.96,4.32,3.85,6.59,3.46,3.59,2.06,1.58,3.95,5.24,0.7,4.42,1.76,3.6,3.15,1.38,3.35,3.87,12.27,3.82,6.09,3.72,4.96,5.9,10.66,5.22,3.13,10.16,2.59,2.5,7.95,3.28,7.57,2.84,4.8,9.79,5.82,3.14,2.49,1.36,4.6,1.42,5.41,6.7,7.42,6.77,12.19,4.01,6.78,3.04,10.57,6,5.01,6.9,9.19,3.92,7.72,10.43,12.17,0.45,6.89,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,2.88,3.05,4.8,4.01,13.37,5.52,6.36,8.69,4.66,6.96,4.17,8.64,6.22,9.05,3.82,5.38,15.68,3.69,3.79,9.55,10.28,5.18,13.58,6.08,6.06,7.95,7.53,4.42,5.7,15.04,9.27,5.31,2.92,6.23,2.5,2.04,11.99,9.17,9.54,6.57,7.72,13.13,9.84,9.52,2.18,12.15,9.49,7.57,8.49,5.54,4.63,10.52,5.9,9.59,11.55,7.46,6.58,10.64,8.84,1.73,1.84,6.04,11.89,4.13,2.12,8.19,4.6,15.54,4.14,2.87,6.77,8.02,7.51,11.69,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,7.94,12.5,3.19,8.17,6.07,4.79,4.1,10.22,11.63,2.15,6.23,6.4,5.72,7.3,3.6,6.39,4.05,4.16,6.3,6.9,4.35,4.02,3.14,7.36,10.34,4.87,9.65,8.55,5.29,7.62,4.65,5.95,4.71,4.11,5.31,3.06,5.31,5.99,3.74,15.26,6.82,12.33,18.44,9.25,16.56,5.14,1.84,3.54,10.16,7.39,3.39,11.39,14.1,14.75,5.64,1.36,5.69,12.1,1.06,15.09,9.12,4.24,8.57,9.41,14.67,4.88,6.58,15.49,6.45,2.34,3.51,3.62,11.57,17.19,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,6.29,9.18,4.22,1.5,12.26,3.58,9.32,6.25,6.84,12.35,14.48,11.19,5.09,12.57,10.22,6.56,6.46,6.18,2.58,4.64,9.57,6.61,13.8,13.12,16.43,10.93,4.24,13.41,15.17,5.63,2.28,12.26,13.26,9.96,7.05,9.14,6.02,10.87,6.68,0.67,4.62,6.62,18.5,7.35,3.93,4.39,3.12,16.16,6.41,10.64,5.07,6.93,4.14,5.09,5.84,11.67,4.08,6.19,11.12,7.49,7.85,13.92,9.67,4.17,8.79,7.09,2.33,7.93,11.04,9.08,7.71,7.29,17.9,9.89,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,62.72,44.06,52.38,75.56,45.96,54.98,72.24,60.89,55.05,75.87,60.89,61.3,70.09,54.5,49.55,86.15,61.09,52.01,59.79,66.37,62.17,66.77,76.88,67.37,81.26,73.84,77.14,68.42,73.08,60.42,70.07,60.99,83.55,52.66,65.36,73.84,80.62,70.59,66.17,78.59,83.56,76.67,77.8,67.89,72.88,53.41,67.94,69.61,70.77,62.1,66.53,80.16,65.99,65.71,64.81,72.76,72.95,75.34,88.8,65.07,84.63,63.31,81.64,83.11,72.34,60.26,93.45,62,59.73,73.7,74.28,76.98,93.4,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR May 1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
