HUTTON CORRIE SCHOOL,,,,,,,,,,
Grid ref,NY207854,Long,-3.2460593,Lat,55.15655,Elevation,680,ft,,
Station no,RR7327,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,5,0.9,,,,
February,,,,,5.2,1.1,,,,
March,,,,,3.4,2.1,,,,
April,,,,,1,2,,,,
May,,,,,3.5,2,,,,
June,,,,,6.2,3,,,,
July,,,,,4.2,5.5,,,,
August,,,,,7,9.1,,,,
September,,,,,3,1.1,,,,
October,,,,,5.5,6.5,,,,
November,,,,,3.5,3.9,,,,
December,,,,,6,1.9,,,,
Total,,,,,53.5,39.1,,,,
