MAIDENHEAD-KIMBER-COTTAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU881791,Long,-0.73207634,Lat,51.503978,Elevation,92,ft.,,,,,,,,,,,,
Station no,RR2799,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.43,1.44,3.72,2.61,0.88,4.09,1.62,4.2,1.34,2.47,0.33,1.1,1.65,3.17,2.08,3.19,,,,
February,1.89,1.05,1.18,1.51,1.64,1.2,1.68,1.51,1.59,2.92,2.6,3.75,2.23,4.97,2.38,3.08,,,,
March,1.67,0.93,2.11,2.27,0.49,0.49,3.21,2.09,0.84,0.65,0.92,2.33,1.38,1.07,1.86,1.92,,,,
April,0.48,2.7,1.58,0.35,1.57,1.11,1.94,2.39,2.78,3.12,2.1,0.83,3.81,1.4,1.55,1.48,,,,
May,0.7,0.3,2.65,1.54,0.92,2.86,0.69,2.4,2.93,3.75,0.48,1.1,2.2,2.14,0.64,1.26,,,,
June,0.25,2.65,2.73,1.04,1.72,3.36,2.23,0.72,2.67,4.87,2.56,2.64,3.21,0.88,2.43,3.3,,,,
July,1.19,2.44,3.06,1.81,1,4.41,0.84,2.62,0.68,3.37,6.1,3.62,2.26,3.45,2.31,0.11,,,,
August,0.8,0.73,2.78,2.37,1.05,1.25,1.96,2.63,4.4,6.1,0.54,6.4,2.21,0.93,1.14,0.86,,,,
September,1.18,4.7,0.78,2.28,3.12,1.64,3.97,1.15,0.64,2.47,4.19,2.29,2.8,3.31,1.6,4.63,,,,
October,2.42,1.43,3.08,2.47,2.44,4.84,1.72,1.61,2.05,0.77,4.21,2.81,6.68,1.9,1.1,4.46,,,,
November,0.94,0.37,3.04,1.81,2.3,3,4.03,3.87,2.45,0.33,1.57,3.91,2.86,3.48,2.24,3.15,,,,
December,2.4,1.02,4.2,0.54,1.16,0.75,4.92,1.53,1.62,0.69,3.05,4.02,3.16,0.61,3.66,1.28,,,,
Total,15.35,19.76,30.91,20.6,18.29,29,28.81,26.72,23.99,31.51,28.65,34.8,34.45,27.31,22.99,28.72,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is near Kimber House on Oakwell Road at the correct altitude. Modern websites mention Kimber Cottage in Oakwell Road. Gauge moved from White Waltham and that record said the move was 1.75 miles which is consistent the  NGRs used.,,,,,,,,,,,,,,,,,,,,
