"GARSTEN (BUILDING RESEARCH STATION)",,,,,,,,,,,,
Grid ref,TL125015,Long,-0.373487,Lat,51.700977,,,,,,,
Station no,916/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.53,1.71,0.82,0.84,2.50,4.10,1.35,2.83,2.83,2.36,,
February,4.82,0.61,1.77,2.12,1.82,0.27,3.31,2.80,0.07,2.30,,
March,3.59,2.77,0.42,2.49,1.22,0.97,1.28,1.40,2.31,1.75,,
April,2.87,1.78,2.71,0.22,0.45,1.03,0.20,1.28,2.59,0.63,,
May,1.93,1.44,1.35,2.29,4.45,0.43,1.02,2.53,0.63,2.32,,
June,1.39,1.20,1.79,4.03,1.90,2.62,1.10,4.31,1.55,1.62,,
July,1.01,0.53,3.49,2.57,0.54,3.09,2.51,1.71,3.71,3.36,,
August,3.53,5.56,1.88,3.06,1.25,4.93,1.89,2.62,1.87,2.67,,
September,3.01,3.37,1.96,1.78,1.42,2.69,3.09,3.50,0.04,3.49,,
October,0.96,3.01,2.74,2.01,3.60,2.04,1.79,2.48,2.26,5.85,,
November,5.14,3.56,1.46,4.84,2.40,0.49,2.07,2.28,2.12,4.21,,
December,1.73,2.82,0.47,1.88,2.07,3.86,2.32,3.19,4.51,3.28,,
Total,33.51,28.36,20.86,28.13,23.62,26.52,21.93,30.93,24.49,33.84,,
Calc annual,33.51,28.36,20.86,28.13,23.62,26.52,21.93,30.93,24.49,33.84,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
