"GARSTON (BUILDING RESEARCH STATION) SITE B",,,,,,,,,,,,
Grid ref,TL125015,Long,-0.373487,Lat,51.700977,,,,,,,
Station no,916/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.23,1.69,0.85,0.80,,,,,,,,
February,4.81,0.61,1.61,2.14,,,,,,,,
March,3.62,2.66,0.45,2.44,,,,,,,,
April,2.81,1.70,2.79,0.23,,,,,,,,
May,1.86,1.46,1.37,2.29,,,,,,,,
June,1.43,1.16,1.78,3.97,,,,,,,,
July,1.00,0.53,3.57,2.61,,,,,,,,
August,3.56,5.58,1.87,3.05,,,,,,,,
September,3.01,3.33,1.97,1.78,,,,,,,,
October,0.94,3.03,2.72,2.01,,,,,,,,
November,5.07,3.56,1.48,4.75,,,,,,,,
December,1.70,2.83,0.48,1.79,,,,,,,,
Total,33.04,28.14,20.94,27.86,,,,,,,,
Calc annual,33.04,28.14,20.94,27.86,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
