HINTON-BLEWETT-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST594570,Long,-2.583867,Lat,51.31076,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,4.36,2.42,4.83,4.48,6.81,4.42,8.85,1.57,6.66,3.12,4.68,3.94,3.43,0.87,4.67,5.77,4.64,5.76,2.81,3.72,4.48,7.61,2.62,2.96,3.66,3.21,8.07,1.26,0.56,4.13,5.03,0.99,2.4,3.95,5.61,3.56,3.43,5.15,4.4
February,,,6.23,9.14,0.65,6.01,2.8,4.62,3.61,1.19,0.79,3.02,0.1,4.08,0.51,3.63,4.05,6.58,1.49,2.4,2.82,3.77,0.43,2.22,0.77,3.51,4.05,1.84,2.45,2.23,7.98,5.63,0.77,2.26,4.01,2.54,0.31,4.2,4.55,0.31,3.26
March,,,4.12,1.83,1.9,0.55,1.6,4.5,4.44,0.25,2.46,1.16,2.61,4.37,3.19,0.97,3.45,5.08,0.22,2.03,3.24,4.39,3.01,1.21,0.42,1.91,0.69,7.37,2.12,1.74,2.32,4.41,4.69,1.06,4.43,1.55,1.3,2.81,1.34,4.07,2.33
April,,,3.08,3.2,4.84,2.41,3.38,1.65,2.13,1.27,2.55,2.99,4.2,1.39,2.84,5.04,2.52,3.15,0.2,4.16,2.3,1.62,2.02,1.73,2.65,1.23,3.2,3.56,1.87,2.12,3.5,4.23,2.31,3.79,0.48,1.48,1.87,0.1,1.61,3.19,2.22
May,,,1.02,1.87,5.61,5.18,3.18,1.35,1.05,2.64,2.15,3.63,6.88,2.12,1.65,1.59,1.11,2.61,2.16,1.01,2.83,1.82,5.96,3.39,1.47,3.14,4.65,3.6,4.79,5.12,2.42,3.37,4.62,2.67,3.1,4.13,0.77,2.27,3.27,1.27,1.21
June,,,2.15,0.71,3.22,0.03,3.13,4.45,2.92,1.69,0.6,3.86,1.98,1.33,1.49,5.24,3.17,1.65,1.38,2.9,0.7,3.22,0.54,1.64,2.97,4.58,4.37,2.7,2.52,0.46,1.82,0.7,3.68,2.03,4.97,4.2,2.78,2.05,3.39,1.6,4.06
July,,,5.03,1.83,4.19,4.48,4.28,6.6,3.74,2.02,3.27,5.09,4.15,2.11,1.51,0.5,6.35,4.2,3.52,4.36,4.24,1.97,3.67,2.24,2.81,1.87,1.2,2.97,1.56,1.28,6.05,2.19,1.04,4.68,3.51,0.15,2.67,5.29,3.19,2.3,5.08
August,,,4.06,5.22,3.52,4.45,2.71,6.61,4.48,4.26,6.05,4.51,1.26,1.51,3.79,1.8,0.65,1.06,4.08,2.94,0.14,6.16,4.99,5.43,2.94,3.1,4.46,1.22,4.4,2.81,6.56,6.98,6.2,3.34,3.27,0.89,4.37,5.52,4.42,1.16,6.39
September,,,2.9,3.89,4.09,3.87,2.15,7.18,1.73,0.61,5.19,1.73,6.27,2.46,4.12,7.09,3.64,2.38,3.14,1.19,1.66,0.8,2.44,2.58,3.18,3.09,5.41,2.13,3.18,1.78,5.61,2.39,3.96,4.75,5.57,2.42,4.68,4.99,6.24,0.22,4.61
October,,,1.82,6.18,7.09,4.99,6.02,3.22,7.56,6.36,3.77,1.43,7.17,2.97,2.8,5.53,2.29,3.7,7.95,3.82,4.62,1.99,4.52,3.31,6.02,5.37,1.19,0.72,4.72,,1.84,0.72,6.39,2.91,4.62,1.83,2.34,3.83,3.38,3.61,8.82
