VALE-LA-TURQUIE-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,WV357822,Long,-2.50664,Lat,49.49172,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4442/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.62,6.28,5.1,4.94,4.46,2.23,2.88,,,,,,,,,1.44,3.77,1.95,0.55,1.45,2.75,2.53,,,,2.15
February,,,,,4.81,3.34,5.85,1.02,1.42,2.76,3.94,,,,,,,,,2.56,5.09,0.79,1.2,2.47,3.49,0.52,,,,2.3
March,,,,,1.45,2.75,4.43,0.4,1.56,2.41,2.83,,,,,,,,,1.06,2.93,2.34,0.24,2.85,1.35,0.37,,,1.24,0.87
April,,,,,3.01,1.5,2.06,0.03,1.52,1.05,2.19,,,,,,,,,1.09,1.13,1.3,2.47,0.3,0.31,0.35,,,1.81,0.76
May,,,,,1.72,0.82,4.48,0.75,0.82,0.97,1.21,,,,,,,,,2.05,2.99,0.93,2.29,1.01,1.77,0.5,,,0.45,1.59
June,,,,,3.05,1.37,0.47,0.14,1.81,0.37,1.44,,,,,,,,,1.36,1.17,0.17,1.11,1.06,1.55,0.88,,,0.44,0.53
July,,,,,0.51,4.74,1.5,1.8,2.32,2.59,0.96,,,,,,,,,2.55,0.93,0.6,2.37,1.77,0.67,0.68,,,0.92,1.98
August,,,,,1.37,0.41,0.37,1.84,1.73,0,3.85,,,,,,,,,3.64,3.9,1.93,1.33,2.24,0.1,2.64,,,1.31,2.41
September,,,,,2.42,2.7,2.49,1.15,2.55,2.18,0.47,,,,,,,,,3.95,3.5,5.02,2.48,3,1.08,1.66,,,0.4,2.65
October,,,,,4.01,2,3.87,3.07,5.77,3.07,1.67,,,,,,,,,3.2,1.17,3.31,2.53,1.81,1.87,1.78,,,2.1,4.96
November,,,,,6.74,4.55,2.46,4.21,3.42,6.89,2.34,,,,,,,,,5.89,4.55,5.13,1.06,3.42,0.93,0.43,,,3.17,3.7
December,,,,,6.92,2.58,4.95,4.21,2.19,3.35,1.66,,,,,,,,,3.43,2.84,4,0.65,2.25,3.83,2.52,,,4.54,3.58
Total,,,,,36.63,33.04,38.03,23.56,29.57,27.87,25.44,,,,,,,,,32.22,33.97,27.47,18.28,23.63,19.7,14.86,,,,27.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There were houses called La Torquie along Grande Rue in an area now called La Tourquie ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behind this is a small hill which reaches the 40ft elevation quoted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Mar Station restarted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Guernsey La Turquie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
