ST-ATHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST026671,Long,-3.40135,Lat,51.394548,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4050/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,0.07,,,4.11,5.48,3.35,3.99,,6.29,3.21,3.62,2.38,3.7,8.49,2.02,1.42,3.99,3.7,0.95,2.43,4.52,4.55,2.99,2.52,3.4,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,1.98,,5.98,1.38,2.19,3.07,3.36,0.43,1.49,0.89,3.63,3.6,1.36,1.63,1,7.2,3.99,1.1,1.39,5.18,2.59,0.19,3.74,2.7,0.4,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.81,,3.33,0.34,0.82,2.86,2.93,2.17,1.03,0.24,1.7,1.3,6.36,1.01,1.98,1.75,4.81,2.96,0.99,3.48,1.26,1.11,3.56,0.75,2.81,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,4.95,,3.49,0.12,3.2,2.91,1.73,1.45,0.91,2.76,1.42,2.09,2.06,2.75,2.74,2.87,3.92,2.44,3.3,0.95,2.42,1.04,0.04,0.75,2.36,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.29,,,2.53,0.7,1.58,2.17,3.76,3.14,2.43,3.82,4.74,3.03,3.92,3.49,1.59,2.48,3.83,2.45,1.94,4.83,1.12,0.84,3.27,0.97,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,2.41,,,1.49,1.49,,1.34,0.19,2.15,4.01,4.36,3.57,2.82,2.79,1.19,0.9,0.3,2.21,2.03,3.32,5.87,1.72,1.35,3.62,1.52,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,0.08,,,2.29,5.62,5.07,3.22,3.38,2.31,2.88,2.81,3,2.81,3.16,1.3,6.94,0.88,1.37,4.53,3.34,0.21,3.11,4.05,2.98,3.64,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.03,0.7,,2.39,2.43,0.09,6.72,5.27,3.92,2.92,2.19,9.88,0.7,7.43,1.74,8.81,4.28,5.67,4.92,3.34,0.79,6.52,3.59,3.77,3.18,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,5.59,4.64,,1.34,0.9,2.36,0.7,3.12,4.69,4.36,2.73,5.86,2.18,4.27,4.41,9.6,3.14,5.08,2.99,6.25,2.13,3.9,4.87,5.74,0.54,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,6.01,2.98,2.82,5.62,3.35,4.66,3.19,4.26,3.02,4.41,5.21,0.86,0.84,6.74,7.55,2.69,2.15,5.52,2.44,4.72,1.55,2.11,4.17,4.27,5.02,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
