RUTHWELL (MOUSWALD SCHOOLHOUSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,NY058730,Long,-3.4757064,Lat,55.042547,Elevation,115,ft,,,,,,,,,,,,,
Station no,5027,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,4.59,3.88,7.2,4.57,9.65,2.85,6.35,3.61,5.26,4.72,5.19,,,,,,
February,,,,,0.51,5.79,6.87,2.93,4.06,2.25,0.33,2.84,0.1,3.21,0.25,,,,,,
March,,,,,1.52,1.04,1.44,4.5,6.62,1.06,3.6,1.04,2.92,1.34,2.67,,,,,,
April,,,,,3.41,5.21,3.12,2.32,1.54,1.58,1.81,2.34,2.81,1.73,3.34,,,,,,
May,,,,,5.33,6.2,3.54,3.32,2.55,3.26,1.7,4.21,3.08,3.22,2.68,,,,,,
June,,,,,2.27,0.53,4.51,4.7,7.34,2.86,2.94,6.35,2.13,2.83,2.71,,,,,,
July,,,,,5.03,2.15,5.16,7.64,4.14,5.33,6.13,3.92,3.32,4.26,2,,,,,,
August,,,,,4.79,6.44,6.39,7.53,8.49,7.2,9.47,3.39,1.6,1.77,5.98,,,,,,
September,,,,,6.05,4.08,4.17,7.07,2.8,0.55,3.07,1.49,3.85,1.59,6.73,,,,,,
October,,,,,4.8,5.67,4.46,5.11,9.03,6.93,5.78,2.39,5.74,2.27,4.86,,,,,,
November,,,,,2.47,2.31,7.67,4.24,6.48,7.77,4.58,10.7,2.61,2.03,0.75,,,,,,
December,,,,,8.61,4.57,1.19,2.43,4.72,6.94,4.32,3.24,8.64,0.83,6.65,,,,,,
Total,,,,,49.38,47.87,55.72,56.36,67.42,48.58,50.08,45.52,42.06,29.8,43.81,,,,,,
