WESSENDEN BOBUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE036098,Long,-1.946534,Lat,53.585288,Elevation,1200,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,2.79,2.67,1.1,3.4,1.96,1.46,1.55,2.67,8.12,6.82,2.6,4.48,4.74,4.34,1.79,4.24,2.59,2.26,2.21,3,2.12,2.55,3.89,2.56,5.86,4.86,2.25,3,4.77,5.61,7.65,3.3,4.61,3.79,3.5,4.39,4.46,11.51,1.46,5.05,4.23,5.18,3.01,3.72,2.04,3.64,4.67,5.12,5.63,2.43,4,4.16,6.22,8.02,4.91,6.52,4.03,11.04,2.27,3.46,6.7,4.77,2.17,4.63,4.28,6.08,5.11,5.62,6.43,7.46,,
February,0.79,0.35,1.14,4.93,7.97,1.01,1.91,3,2.57,1.74,4.04,1.83,0.99,5.07,3.78,1.38,1.85,0.86,3.5,1.74,7.38,4.59,3.08,1.77,3.71,3.86,5.28,0.64,7.63,1.91,5.51,0.63,5.65,6.13,2.14,6.49,3.7,2.23,5.81,0.62,0.75,5.01,0.3,5.33,0.31,6.26,2,4.7,2.14,5.48,2.07,6.83,1.25,3.22,2.29,6.23,7.43,1.58,2.99,2.9,7.07,4.22,2.1,2.72,4.21,3.16,2.39,4.2,8.01,0.53,5.23,,
March,3.55,2.07,0.83,0.78,3.45,3.89,4.62,4.58,2.09,1.98,1.04,4.89,2.33,6.93,1.49,4.26,4.46,4.02,3.17,2.16,1.38,3.4,5.13,5.79,4.89,1.13,3.08,2.74,2.12,7.54,3.8,4.07,2.87,2.31,1.63,2.09,1.7,4.5,2.61,1.2,2.1,0.25,2.36,2.91,3.16,2.46,3.7,2.74,1.36,3.59,4.38,5.5,3.24,1.6,0.46,1.56,2.34,10.03,2.08,2.4,2.72,6.97,2.95,2.92,3.38,2.91,1.77,4.55,4.53,2.73,2.17,,
April,1.7,1.93,1.46,0.76,3.3,2.62,1.33,3.62,2.9,4.11,2.81,2.87,2.33,1.93,4.49,3.97,1.19,2.61,1.12,5.46,3.65,2.98,1.56,4.06,1.68,1.83,2.99,1.86,1.64,2.76,6.97,2.08,3.29,3.51,2.41,2.11,1.99,3.74,1.17,1.42,2.92,3.79,4.13,1.51,2.34,4.08,2,3.01,0.62,2.82,3.16,3.2,2.9,2.56,3.37,2.72,1.91,4.15,2.41,4.49,4.83,3.02,4.37,4.12,0.98,3.04,3.02,0.7,1.56,5.62,2.97,,
May,3.25,3.23,3.58,2.61,2.85,1.98,0.75,1.52,4.38,3.56,1.62,1.83,3.45,5.3,3.13,1.29,3.87,3.5,4.63,3.33,2.82,2.12,4.35,3.5,2.47,1.81,4.1,2.38,3.54,2.46,7.05,2.27,1.56,3.37,6.55,4.1,4.36,1.66,1.74,2.59,2.58,3.17,5.82,1.58,3.33,0.77,1.58,3.86,4.8,1.81,0.98,2.65,5.14,2.98,4.44,3.87,1.99,4.48,2.14,3.32,2.94,3.58,2.21,2.73,4.36,4.09,2.21,1.6,5.85,2.74,2.74,,
June,3.79,1.95,2.98,2.12,3.32,3.5,3.07,4.17,3.74,1.26,5.1,2.26,2.06,1.65,1.87,2.66,2.29,8.45,2.2,3.13,4.1,1.76,4.26,2.82,3.71,1.71,4.03,2.17,1.94,2.03,3.45,0.33,3.21,0.97,2.2,0.02,3.29,4.2,5.82,1.09,2.22,4.95,0.49,2.69,2.32,4.26,5.29,3.1,5.15,4.12,0.89,1.45,1.35,3.62,3.62,7.37,4.2,3.39,4.48,0.84,3.05,1.23,3.5,3.97,4.77,4.08,4.11,2.58,6.39,2.61,2.11,,
July,3.46,3.95,2.54,4.43,3.32,7.69,4.13,2.28,1.16,2.34,4.35,4.81,3.32,4.48,1.95,3.15,1.85,2.74,4.98,6.6,6.93,2.09,2.73,1.45,4.67,5.35,2.59,2.21,5.67,3.04,9.14,1.96,5.26,4.44,3.71,1.88,2.75,2.28,1.67,1.86,6.42,4.96,4.71,3.77,3.84,2.13,3.83,2.47,4.71,9.09,4.12,1.92,4.67,3.3,3.74,1.46,6.75,2.49,2.6,3.38,4.99,3.24,3.18,7.87,6.36,1.63,8.49,5.68,5.93,4.2,7.77,,
August,5.51,8.16,4.49,2.43,4.49,3.1,2.61,4.05,6.74,2.69,6.69,2.98,4.18,6.32,5.28,5.1,4.48,5.22,3.55,3.7,4.38,2.86,6.12,2.28,3.62,6.55,3.09,8.03,4.17,3.97,2.63,6.19,5.37,4.87,3.74,3.68,4.84,5.7,4.85,4.15,5.09,5.9,1.78,1.9,3.25,1.84,2.44,1.57,3.92,2.39,2.72,9.19,5.91,7.9,5.05,3.76,6.94,0.33,6.06,3.64,6.23,7.52,4.98,6.44,6.73,1.16,14.2,6.42,5.68,0.72,7.28,,
September,1.52,3.4,3.39,3.9,1.08,1.39,7.93,4.85,0.67,7.25,2.1,1,3.23,6.29,1.45,3.31,1.72,1.14,4.1,3.12,1.53,4.8,1.9,2.24,2.04,0.63,3.37,2.3,13.54,2.56,2.67,1.18,4.03,4.59,4.49,3.1,3.31,6.36,0.46,1.48,4.32,3.84,5.33,1.8,2.87,7.48,5.83,1.87,2.4,1.49,5.02,0.54,2.81,5.19,6.09,3.43,7.42,3.08,2.8,1.91,9,3.43,4.36,3.85,6.5,3,5.62,7.98,6.84,0.4,3.79,,
October,2.69,6.43,6.05,3.27,6.63,4.38,5.84,2.56,5.42,4.35,5.77,4.82,5.83,10.5,2.52,3.2,5.18,5.62,2.03,7.43,3.08,2.58,4.25,3.11,3.09,2.23,8.49,7.44,3.71,3.41,1.86,2.89,1.45,5.28,5.4,5.74,3.99,3.45,5.22,4.72,5.52,2.3,7.35,4.93,5.75,10.29,5.82,3.19,11.14,2.91,5.64,6.37,6.65,3.21,5.14,8.37,1.43,1.25,3.03,4.79,2.36,1.53,6.51,3.55,9.6,3.02,3.8,7.43,4.91,4.94,7.03,,
