"STOKE NEWINGTON NEW RIVER WORKS",,,,,,,,,,,,
Grid ref,TQ326874,Long,-0.088131,Lat,51.569887,,,,,,,
Station no,50,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.43,0.41,0.77,1.89,2.10,1.10,3.97,0.87,1.84,0.68,,
February,2.85,0.77,1.15,0.68,2.53,0.57,1.84,1.06,1.48,0.40,,
March,0.66,1.85,1.75,2.36,1.40,3.04,0.82,0.98,2.15,2.30,,
April,0.93,1.98,0.39,1.87,1.04,1.85,0.53,3.04,2.20,1.86,,
May,0.85,0.99,2.31,2.05,1.72,0.77,1.22,1.87,1.61,1.80,,
June,2.16,1.05,2.75,5.91,0.64,3.54,2.97,1.95,1.09,3.80,,
July,1.28,3.38,1.20,5.03,2.12,0.88,0.24,2.50,3.27,3.28,,
August,2.80,1.67,4.33,3.69,1.95,2.49,0.77,1.70,2.57,1.64,,
September,0.80,1.83,1.08,2.68,1.09,2.20,1.81,0.72,1.10,2.46,,
October,1.82,2.26,1.41,6.16,1.42,1.23,3.17,2.49,1.87,3.69,,
November,1.85,0.35,1.44,1.63,1.65,2.63,3.74,2.24,0.64,0.79,,
December,2.36,2.86,1.46,1.24,1.66,0.71,1.97,3.70,1.52,2.53,,
Total,20.79,19.40,20.04,35.19,19.32,21.01,23.05,23.12,21.34,25.23,,
Calc annual,20.79,19.40,20.04,35.19,19.32,21.01,23.05,23.12,21.34,25.23,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
